rank,isbn13,7세_대출,적합도,인기점수(50),추천도(100),제목,저자,출판사,출판년,추천연령,최다선택나이,분포,그림책,총대출
1,9788934971634,9754,0.985,46.3,95.6,이게 정말 나일까? ,요시타케 신스케 글·그림 ;김소연 옮김,김영사,2015,5~9세,7,대칭,True,36591
2,9791156130727,7250,0.988,44.0,93.3,이유가 있어요 ,요시타케 신스케 글·그림 ;김정화 옮김,봄나무,2015,4~9세,9,더 어린 아이부터 봄,True,32094
3,9788990611260,11130,0.909,47.4,92.9,틀려도 괜찮아,마키타 신지 글;유문조 옮김,토토북,2006,4~9세,7,더 어린 아이부터 봄,True,32270
4,9791156130796,7495,0.97,44.2,92.7,불만이 있어요 ,요시타케 신스케 글·그림 ;김정화 옮김,봄나무,2016,5~10세,9,더 어린 아이부터 봄,True,33011
5,9788934968726,7598,0.959,44.3,92.3,이게 정말 사과일까? ,요시타게 신스케 글·그림 ;고향옥 옮김,김영사,2014,5~9세,9,더 어린 아이부터 봄,True,30766
6,9788986621105,7583,0.95,44.3,91.8,만희네 집 ,글·그림: 권윤덕,길벗어린이,2012,4~9세,7,대칭,True,24147
7,9788993242980,12261,0.872,48.2,91.8,슈퍼 거북 ,유설화 글·그림,책읽는곰,2014,4~9세,5,더 큰 아이 쪽으로 넓음,True,50498
8,9788989646488,7818,0.941,44.6,91.6,엄마 까투리 ,권정생 글 ;김세현 그림,낮은산,2008,4~9세,7,대칭,True,25167
9,9788937838750,15424,0.81,50.0,90.5,(추리 천재) 엉덩이 탐정,트롤 글·그림 ;김정화 옮김,미래엔,2016,6~10세,9,대칭,False,68603
10,9788934978688,6631,0.944,43.2,90.4,심심해 심심해 ,요시타케 신스케 글·그림 ;고향옥 옮김,김영사,2017,5~9세,9,더 어린 아이부터 봄,True,28395
11,9788934908067,10583,0.867,47.0,90.3,책 먹는 여우 ,프란치스카 비어만 지음 ;김경연 옮김,김영사,2001,6~10세,9,더 어린 아이부터 봄,False,44089
12,9791159952050,4612,0.986,40.3,89.6,"아빠 자판기 :아빠, 사랑, 딸, 놀이 ",글·그림: 조경희,노란돼지,2021,5~10세,9,더 어린 아이부터 봄,True,19706
13,9788937853470,14874,0.798,49.7,89.6,(추리 천재) 엉덩이 탐정,트롤 글·그림 ;김정화 옮김,미래엔,2016,6~11세,9,대칭,False,67362
14,9788937889714,14965,0.793,49.8,89.4,(추리 천재) 엉덩이 탐정,트롤 글·그림 ;김정화 옮김,미래엔,2016,6~11세,9,대칭,False,68196
15,9791159950681,6685,0.92,43.3,89.3,엄마 자판기 ,글·그림: 조경희,노란돼지,2019,5~10세,9,더 어린 아이부터 봄,True,29295
16,9788986621136,9816,0.848,46.4,88.8,강아지똥 ,글: 권정생 ;그림: 정승각,길벗어린이,2003,3~8세,7,더 어린 아이부터 봄,True,34957
17,9788959761906,8285,0.874,45.0,88.7,엉덩이탐정 :뿡뿡 무지개 다이아몬드를 찾아라! ,트롤 글·그림 ;전경아 옮김,문학수첩리틀북,2016,4~8세,6,대칭,True,32782
18,9788986621198,9133,0.85,45.8,88.3,솔이의 추석 이야기 ,글·그림: 이억배,길벗어린이,2011,3~8세,7,더 어린 아이부터 봄,True,21125
19,9788984287853,4067,0.978,39.3,88.2,밥 먹을 때 똥 얘기 하지 마 ,허은순 글 ;김이조 그림,보리,2013,5~9세,9,더 어린 아이부터 봄,False,14222
20,9788937848247,14471,0.774,49.5,88.2,(추리 천재) 엉덩이 탐정,트롤 글·그림 ;김정화 옮김,미래엔,2016,6~11세,9,대칭,False,66793
21,9788950936006,4841,0.948,40.7,88.1,마법천자문 1 - 불어라! 바람 풍風,스튜디오 시리얼,아울북,2003,6~10세,7,더 큰 아이 쪽으로 넓음,True,19612
22,9788986565041,6463,0.9,43.0,88.0,세상에서 제일 힘센 수탉 ,글쓴이: 이호백 ;그린이: 이억배,재미마주,1997,4~8세,7,더 어린 아이부터 봄,True,16698
23,9788930202497,3452,1.0,38.0,88.0,Why? 똥 ,글: 허순봉 ;만화: 송회석,예림당,2011,5~9세,7,대칭,False,13045
24,9788950906047,3601,0.991,38.3,87.9,마법천자문:손오공의 한자 대탐험,시리얼 글·그림,북21아울북,2004,5~9세,7,대칭,True,12784
25,9788943308827,7008,0.869,43.7,87.1,(오늘의 일기) 학교 가는 날 ,글: 송언 ;그림: 김동수,보림출판사,2011,3~8세,7,더 어린 아이부터 봄,True,16866
26,9788955821055,7950,0.843,44.7,86.9,집안 치우기 ,글: 고대영 ;그림: 김영진,길벗어린이,2010,4~9세,6,대칭,True,34697
27,9791162332542,13253,0.755,48.8,86.6,(추리 천재) 엉덩이 탐정,트롤 글·그림 ;김정화 옮김,미래엔,2016,6~11세,9,대칭,False,62431
28,9788986565065,6169,0.876,42.7,86.5,손 큰 할머니의 만두 만들기 ,글: 채인선 ;그림: 이억배,재미마주,1998,4~8세,7,더 어린 아이부터 봄,False,19276
29,9788943305796,3526,0.965,38.2,86.4,우리 가족입니다,이혜란 지음,보림출판사,2005,4~9세,7,대칭,True,13062
30,9791169811163,3901,0.945,39.0,86.2,호랭떡집 ,글·그림: 서현,사계절(사계절출판사),2023,5~9세,6,대칭,True,17038
31,9788980405428,3602,0.955,38.4,86.1,몰라쟁이 엄마,이태준 지음;신가영 그림,우리교육,2002,4~8세,7,대칭,False,7365
32,9788949160986,3092,0.978,37.1,86.0,심술쟁이 버럭영감 ,강정연 글 ;김수현 그림,비룡소,2007,5~8세,7,대칭,False,9127
33,9788943304799,4886,0.905,40.8,86.0,감기 걸린 날 ,김동수 글·그림,보림출판사,2008,3~8세,7,더 어린 아이부터 봄,True,16515
34,9788950906610,2803,0.993,36.3,86.0,마법천자문:손오공의 한자 대탐험,시리얼 글·그림,북21아울북,2004,5~9세,7,대칭,True,10184
35,9788958284413,2821,0.99,36.4,85.9,보물 상자 ,김옥 동화 ;서현 그림,사계절출판사,2010,5~8세,7,대칭,False,9128
36,9788958284482,8813,0.803,45.5,85.7,감기 걸린 물고기 :박정섭 그림책 ,글·그림: 박정섭,사계절,2016,3~9세,5,대칭,True,37269
37,9788955822823,8712,0.803,45.4,85.6,싸워도 돼요? ,글: 고대영 ;그림: 김영진,길벗어린이,2013,4~8세,6,대칭,True,33648
38,9788949161662,3480,0.948,38.1,85.5,(세상에서 가장 무서운) 내 짝꿍 ,이용경 글 ;원혜진 그림,비룡소,2013,5~8세,7,대칭,False,9508
39,9788934995357,6313,0.853,42.8,85.5,그것만 있을 리가 없잖아 ,요시타케 신스케 글·그림 ;고향옥 옮김,김영사,2019,5~9세,9,더 어린 아이부터 봄,True,27541
40,9791162339466,11688,0.753,47.8,85.4,(추리 천재) 엉덩이 탐정,트롤 글·그림 ;김정화 옮김,미래엔,2016,6~11세,9,대칭,False,56223
41,9788949110479,6055,0.858,42.5,85.4,종이 봉지 공주,로버트 먼치,비룡소,1998,4~9세,9,더 어린 아이부터 봄,True,31847
42,9788961706162,4721,0.897,40.5,85.3,꿀 독에 빠진 여우 ,안선모 지음 ;김미은 그림,푸른책들,2017,4~7세,7,더 어린 아이부터 봄,False,9950
43,9788959761654,8195,0.806,44.9,85.2,엉덩이탐정 :뿡뿡 사라진 과자를 찾아라! ,트롤 글·그림 ;전경아 옮김,문학수첩리틀북,2015,4~8세,6,대칭,True,30973
44,9788932306520,3102,0.96,37.2,85.2,노란 양동이,모리야마 미야코 지음;양선하 옮김,현암사,2000,4~8세,7,대칭,False,9493
45,9788964963999,4549,0.898,40.2,85.1,보이거나 안 보이거나 ,요시타케 신스케 글·그림 ;고향옥 옮김,토토북,2019,5~10세,9,더 어린 아이부터 봄,True,21305
46,9791162335123,12463,0.736,48.3,85.1,(추리 천재) 엉덩이 탐정,트롤 글·그림 ;김정화 옮김,미래엔,2016,7~11세,9,대칭,False,59098
47,9788934975311,6532,0.839,43.1,85.1,이게 정말 천국일까? ,요시타케 신스케 글·그림 ;고향옥 옮김,김영사,2016,5~9세,9,더 어린 아이부터 봄,True,28645
48,9788934999263,5150,0.873,41.2,84.9,이게 정말 마음일까? ,요시타케 신스케 글·그림 ;양지연 옮김,김영사,2020,6~10세,9,더 어린 아이부터 봄,True,23298
49,9788964960035,6641,0.829,43.3,84.7,나는 나의 주인 ,채인선 글 ;안은진 그림,토토북,2010,5~9세,8,더 어린 아이부터 봄,False,32419
50,9788930202435,3052,0.953,37.0,84.7,Why? 공룡 ,글: 이항선 ;만화: 송회석,예림당,2011,5~9세,7,대칭,False,11917
51,9788911026319,4807,0.877,40.7,84.5,길 아저씨 손 아저씨,권정생 글;김용철 그림,국민서관,2006,4~8세,7,더 어린 아이부터 봄,True,15873
52,9788959762088,7489,0.805,44.2,84.5,엉덩이탐정 :뿡뿡 쪼그만 서장의 대위기!? ,트롤 글·그림 ;전경아 옮김,문학수첩리틀북,2017,4~8세,6,대칭,True,28651
53,9788958285366,3715,0.915,38.6,84.4,나도 편식할 거야 :유은실 동화 ,지은이: 유은실 ;그린이: 설은영,사계절출판사,2011,5~8세,9,더 어린 아이부터 봄,False,12614
54,9788955821970,7613,0.797,44.3,84.2,칭찬 먹으러 가요 ,글: 고대영 ;그림: 김영진,길벗어린이,2012,4~8세,6,대칭,True,31845
55,9788959762323,6489,0.823,43.1,84.2,엉덩이 탐정 :뿡뿡 사라진 도시락 수수께끼! ,트롤 글·그림 ;전경아 옮김,문학수첩리틀북,2018,4~8세,6,대칭,True,23736
56,9788901033518,8855,0.773,45.6,84.2,돼지책,글·그림: 앤서니 브라운;옮긴이: 허은미,웅진씽크빅,2006,3~7세,7,더 어린 아이부터 봄,False,32016
57,9791187287254,7043,0.809,43.7,84.2,(진짜 일 학년) 책가방을 지켜라! ,신순재 글 ;안은진 그림,천개의바람,2017,4~7세,7,더 어린 아이부터 봄,True,14441
58,9788984285989,4180,0.893,39.5,84.2,"할머니, 어디가요? 앵두 따러 간다! :옥이네 여름 이야기 ",조혜란 그리고 씀,보리,2009,4~8세,7,더 어린 아이부터 봄,True,12300
59,9788955820966,7966,0.786,44.7,84.0,거짓말 ,글: 고대영 ;그림: 김영진,길벗어린이,2009,4~8세,6,대칭,True,31928
60,9788949160078,2414,0.976,35.1,83.9,수영장 사건,베아트리스 루에 글;최윤정 옮김,비룡소,1996,4~8세,8,더 어린 아이부터 봄,False,8281
61,9788955820683,7968,0.785,44.7,83.9,용돈주세요,글: 고대영;그림: 김영진,길벗어린이,2007,4~8세,6,대칭,True,30989
62,9788955823707,6053,0.827,42.5,83.9,왜 띄어 써야 돼? ,박규빈 글·그림,길벗어린이,2016,4~7세,7,더 어린 아이부터 봄,True,15598
63,9788955820805,7413,0.794,44.1,83.8,손톱 깨물기 ,글: 고대영 ;그림: 김영진,길벗어린이,2008,4~8세,6,대칭,True,31788
64,9788950906030,5727,0.835,42.1,83.8,마법천자문:손오공의 한자 대탐험,시리얼 글·그림,북21아울북,2004,5~7세,7,더 어린 아이부터 봄,True,16524
65,9788943302245,4091,0.886,39.4,83.7,늑대가 들려주는 아기돼지 삼형제 이야기 ,존 셰스카 글 ;황의방 옮김,보림출판사,2008,4~9세,7,더 어린 아이부터 봄,True,15350
66,9788936446819,12307,0.708,48.2,83.6,수박 수영장 :안녕달 그림책 ,지은이: 안녕달,창비,2015,3~8세,3,더 큰 아이 쪽으로 넓음,True,55125
67,9788958288770,2219,0.98,34.5,83.5,거인이 제일 좋아하는 맛 :오주영 동화 ,지은이: 오주영 ;그린이: 김고은,사계절,2015,5~8세,8,더 어린 아이부터 봄,False,7387
68,9788949161488,3305,0.911,37.7,83.2,토끼 빵과 돼지 빵 ,오자와 다다시 글 ;고향옥 옮김,비룡소,2012,4~8세,7,더 어린 아이부터 봄,False,9799
69,9788955821697,7095,0.786,43.8,83.1,먹는 이야기 ,글: 고대영 ;그림: 김영진,길벗어린이,2011,4~8세,6,대칭,True,29888
70,9788934931270,1861,0.999,33.1,83.0,공부하는 난쟁이 ,앙리에트 비쇼니에 글 ;이정주 옮김,김영사,2009,5~8세,7,대칭,False,4533
71,9788955824896,6622,0.794,43.2,82.9,틀리면 어떡해? ,김영진 글·그림,길벗어린이,2019,4~7세,6,대칭,True,23487
72,9788950936013,3996,0.874,39.2,82.9,마법천자문 2 - 솟아라! 뿔 각角,스튜디오 시리얼,아울북,2003,6~10세,9,대칭,True,16939
73,9788949160122,2523,0.946,35.5,82.8,수학은 너무 어려워,"베아트리스 루에 (지은이), 로지 (그림), 최윤정 (옮긴이)",비룡소,1996,4~8세,8,더 어린 아이부터 봄,False,8867
74,9788950976866,3741,0.88,38.7,82.6,마법천자문 :손오공의 한자 대탐험,"글: 시리얼,홍거북",북이십일,2019,6~11세,9,대칭,True,15380
75,9788993242706,11903,0.694,47.9,82.6,장수탕 선녀님 ,지은이: 백희나,책읽는곰,2012,3~8세,4,더 큰 아이 쪽으로 넓음,True,55983
76,9791164131914,10146,0.717,46.6,82.5,(추리 천재) 엉덩이 탐정,트롤 글·그림 ;김정화 옮김,미래엔,2016,7~11세,9,대칭,False,49580
77,9788949161693,3152,0.903,37.3,82.4,꼬마 스파이더 ,박하잎 글·그림,비룡소,2013,4~8세,7,더 어린 아이부터 봄,False,8740
78,9791187287933,2303,0.951,34.8,82.3,수상한 해적선의 등장 ,구도 노리코 글·그림 ;김소연 옮김,천개의바람,2019,4~8세,7,대칭,False,8081
79,9791158360375,10417,0.707,46.9,82.2,알사탕 ,백희나,책읽는곰,2017,3~8세,4,더 큰 아이 쪽으로 넓음,True,49004
80,9788954634939,4920,0.827,40.8,82.2,라면 맛있게 먹는 법 ,권오삼 시 ;윤지회 그림,문학동네,2015,4~7세,7,더 어린 아이부터 봄,False,8489
81,9788950906054,2480,0.937,35.4,82.2,마법천자문:손오공의 한자 대탐험,시리얼 글·그림,북21아울북,2004,5~9세,9,더 어린 아이부터 봄,True,9634
82,9791158360214,10281,0.709,46.8,82.2,이상한 엄마 ,백희나,책읽는곰,2016,3~8세,5,대칭,True,50284
83,9791160946673,5564,0.807,41.8,82.2,이파라파냐무냐무 :이지은 그림책 ,글·그림: 이지은,사계절(사계절출판사),2020,4~9세,5,더 큰 아이 쪽으로 넓음,True,25701
84,9788980712656,3365,0.884,37.8,82.0,가족의 가족을 뭐라고 부르지? :바르게 부르는 가족 호칭책 ,채인선 글 ;배현주 그림,미세기,2010,5~9세,8,더 어린 아이부터 봄,False,13909
85,9791170183778,2567,0.926,35.6,81.9,(최강) 동물 배틀 ,감수: 이마이즈미 타다아키 ;옮김: 박유미,글송이,2017,5~8세,7,대칭,False,8866
86,9788901232232,6997,0.765,43.7,81.9,팥빙수의 전설 :이지은 그림책 ,글·그림: 이지은,웅진씽크빅,2019,3~8세,5,대칭,False,31098
87,9788911030224,8645,0.73,45.4,81.9,강아지 복실이 ,한미호 글 ;김유대 그림,국민서관,2012,4~7세,7,더 어린 아이부터 봄,True,18424
88,9788984287907,2638,0.92,35.9,81.8,예방 주사 맞기 싫어! ,허은순 글 ;김이조 그림,보리,2013,5~8세,9,더 어린 아이부터 봄,False,8144
89,9788986621426,3514,0.873,38.2,81.8,해치와 괴물 사형제 ,글쓴이: 정하섭 ;그린이: 한병호,길벗어린이,2012,4~8세,7,더 어린 아이부터 봄,True,10128
90,9788958285281,1586,1.0,31.8,81.8,심부름은 정말 싫어 ,강정연 동화 ;국지승 그림,사계절출판사,2011,6~8세,7,대칭,False,3699
91,9791185751917,4326,0.838,39.8,81.7,산딸기 크림봉봉 ,에밀리 젠킨스 글 ;길상효 옮김,씨드북,2016,4~8세,6,대칭,True,18916
92,9791190077002,2041,0.956,33.8,81.6,사라진 봄의 여신 ,구도 노리코 글·그림 ;김소연 옮김,천개의바람,2019,4~8세,9,더 어린 아이부터 봄,False,7289
93,9788950906061,2700,0.91,36.0,81.5,마법천자문:손오공의 한자 대탐험,시리얼 글·그림,북21아울북,2004,6~9세,9,더 어린 아이부터 봄,True,10458
94,9788901251226,5043,0.81,41.0,81.5,친구의 전설 :이지은 그림책 ,글·그림: 이지은,웅진씽크빅,2021,4~8세,6,대칭,False,20062
95,9788994975368,5652,0.79,42.0,81.5,901호 띵똥 아저씨 ,글·그림: 이욱재,노란돼지,2014,4~7세,7,더 어린 아이부터 봄,True,17564
96,9788971967751,6466,0.769,43.0,81.5,똥벼락,김회경 글;조혜란 그림,사계절출판사,2001,3~7세,7,더 어린 아이부터 봄,True,19520
97,9788950976859,3674,0.859,38.5,81.5,마법천자문 :손오공의 한자 대탐험,"글: 시리얼,홍거북",북이십일,2019,6~11세,9,대칭,True,15465
98,9791170183877,2596,0.914,35.7,81.4,(최강왕) 곤충 배틀 ,감수: 오노 히로쓰구 ;옮김: 박유미,글송이,2017,5~8세,7,더 어린 아이부터 봄,False,9515
99,9791164130764,9484,0.707,46.1,81.4,추리 천재 엉덩이 탐정과 카레 사건 ,트롤 글·그림 ;김정화 옮김,미래엔,2019,7~11세,9,대칭,False,46750
100,9788958284055,7006,0.755,43.7,81.4,눈물바다 ,서현 글·그림,사계절출판사,2009,3~7세,7,더 어린 아이부터 봄,True,25351
