rank,isbn13,2세_대출,적합도,인기점수(50),추천도(100),제목,저자,출판사,출판년,추천연령,최다선택나이,분포,그림책,총대출
1,9788955822120,769,0.993,47.6,97.2,덤프차가 꽈당! ,오하시 에미코 글 ;이기웅 옮김,길벗어린이,2013,1~3세,2,대칭,True,3426
2,9788961704694,583,0.999,45.6,95.5,빠이빠이 기저귀! ,지은이: 레슬리 패트리셀리 ;옮긴이: 마술연필,푸른책들,2015,1~3세,2,대칭,True,1983
3,9791190077224,565,0.976,45.3,94.2,출동! 아빠 자동차 ,신혜영 글 ;이명하 그림,천개의바람,2019,1~3세,2,대칭,True,2186
4,9788901203652,602,0.961,45.8,93.9,나랑 친구할래? ,글·그림: 최숙희,웅진씽크빅,2015,2~3세,2,더 큰 아이 쪽으로 넓음,False,3443
5,9788901052922,679,0.943,46.7,93.8,괜찮아,최숙희 지음,웅진씽크빅,2005,1~4세,1,더 큰 아이 쪽으로 넓음,False,7981
6,9788901096391,531,0.973,44.9,93.6,나도 나도 ,글·그림: 최숙희,웅진씽크빅,2009,1~3세,2,대칭,False,2485
7,9788958282792,464,0.992,43.9,93.5,잘잘잘 123 :수 놀이 그림책 ,이억배,사계절출판사,2008,1~3세,2,대칭,True,2304
8,9788994077765,432,0.996,43.4,93.2,다 함께 응가해요 ,지은이: 후쿠다 이와오 ;옮긴이: 김지연,책과콩나무,2014,1~3세,2,대칭,True,1387
9,9788901118307,498,0.971,44.4,93.0,나는 내가 좋아요 ,글: 윤여림 ;그림: 배현주,웅진씽크빅,2011,2~3세,2,더 큰 아이 쪽으로 넓음,False,2754
10,9788901140773,423,0.993,43.3,92.9,모두 모두 정말 좋아 ,글: 윤여림 ;그림: 배현주,웅진씽크빅,2012,1~3세,2,대칭,False,1651
11,9791187517344,415,0.994,43.1,92.9,응가가 쑴풍 ,글: 조은수 ;그림: 조은화,한울림어린이,2018,1~3세,2,대칭,True,1716
12,9788961706117,465,0.975,44.0,92.7,나 혼자 쉬해요! ,캐런 카츠 글·그림 ;마술연필 옮김,푸른책들,2017,2~3세,2,더 큰 아이 쪽으로 넓음,True,1644
13,9788927191049,430,0.986,43.4,92.7,"톡톡톡, 괜찮아? ",글·그림: 시모카와라 유미 ;옮김: 조은숙,그레이트 Books(그레이트북스),[201,1~3세,2,대칭,False,1700
14,9791187287865,432,0.977,43.4,92.3,맛있는 수 놀이 ,글·그림: 안은영,천개의바람,2018,1~3세,1,더 큰 아이 쪽으로 넓음,True,2367
15,9788967491048,391,0.99,42.7,92.2,깨물면 안 돼! :바른 생활 그림책 ,글: 마이클 달 ;옮김: 공상공장,키즈엠,2013,1~3세,2,대칭,False,1493
16,9791159421877,412,0.971,43.1,91.7,추피가 집을 만들어요,무지개출판편집부,,2017,2~3세,2,더 큰 아이 쪽으로 넓음,False,1409
17,9788901158433,358,0.991,42.1,91.6,모두 모두 안녕! ,글: 윤여림 ;그림: 배현주,웅진씽크빅,2013,1~3세,2,대칭,False,2520
18,9788927198376,415,0.97,43.1,91.6,정원에서 놀아요 ,글: 나디아 베르칸 ;옮김: 박정연,그레이트 Books(그레이트북스),2021,2~3세,2,더 큰 아이 쪽으로 넓음,False,1566
19,9788927191063,381,0.982,42.5,91.6,앙앙의 턱받이 ,글·그림: 다나카 유카 ;옮김: 안지윤,그레이트 Books(그레이트북스),[201,2~3세,2,대칭,False,1272
20,9788967491239,351,0.991,41.9,91.5,나온다 나온다 나온다 뿌웅 ,글: 천미진 ;그림: 서유노,키즈엠,2013,1~3세,2,대칭,False,1525
21,9788949180601,374,0.982,42.4,91.5,노란 택시 ,민정영 글·그림,비룡소,2011,1~3세,2,대칭,False,1142
22,9788967491512,394,0.971,42.8,91.3,때리면 안 돼! :바른 생활 그림책 ,글: 마이클 달 ;옮김: 공상공장,키즈엠,2013,2~3세,2,더 큰 아이 쪽으로 넓음,False,1771
23,9788927198444,364,0.978,42.2,91.1,신나는 어린이집 ,글: 나디아 베르칸 ;옮김: 박정연,그레이트 Books(그레이트북스),2021,2~3세,2,더 큰 아이 쪽으로 넓음,False,995
24,9788927198468,367,0.977,42.3,91.1,변기에 쉬해요 ,글: 나디아 베르칸 ;옮김: 박정연,그레이트 Books(그레이트북스),2021,2~3세,2,더 큰 아이 쪽으로 넓음,False,911
25,9788901136684,457,0.945,43.8,91.1,내가 정말? ,최숙희 글·그림,웅진씽크빅,2011,2~3세,2,더 큰 아이 쪽으로 넓음,False,3671
26,9791159421907,366,0.974,42.2,90.9,추피에게 여동생이 생겼어요,무지개출판편집부,,2017,2~3세,2,더 큰 아이 쪽으로 넓음,False,1448
27,9788927198628,356,0.977,42.0,90.9,할머니 댁에 갔어요 ,글: 나디아 베르칸 ;옮김: 박정연,그레이트 Books(그레이트북스),2021,2~3세,2,더 큰 아이 쪽으로 넓음,False,1054
28,9788992963602,356,0.973,42.0,90.7,아기그림사전 ,채인선 글 ;유진희 그림,초록아이,2015,2~3세,2,더 큰 아이 쪽으로 넓음,True,1664
29,9791165731298,297,0.999,40.7,90.7,기차 와요?,"기쿠치 치키 (지은이), 김보나 (옮긴이)",천개의바람,2021,1~3세,2,대칭,False,1487
30,9788927198727,384,0.961,42.6,90.6,놀이터는 재미있어요 ,글: 나디아 베르칸 ;옮김: 박정연,그레이트 Books(그레이트북스),2021,2~3세,2,더 큰 아이 쪽으로 넓음,False,1041
31,9788927198581,343,0.976,41.8,90.6,화내지 말아요 ,글: 나디아 베르칸 ;옮김: 박정연,그레이트 Books(그레이트북스),2021,2~3세,2,더 큰 아이 쪽으로 넓음,False,1055
32,9788927191070,360,0.967,42.1,90.5,도시락을 열면 ,글·그림: 마츠다 나나코 ;옮김: 최송아,그레이트 Books(그레이트북스),[201,2~3세,2,더 큰 아이 쪽으로 넓음,False,1435
