rank,isbn13,3세_대출,적합도,인기점수(50),추천도(100),제목,저자,출판사,출판년,추천연령,최다선택나이,분포,그림책,총대출
1,9791158360641,1359,0.956,43.8,91.6,기차를 타요 ,구도 노리코 글·그림 ;윤수정 옮김,책읽는곰,2018,2~5세,3,더 큰 아이 쪽으로 넓음,True,14833
2,9788949105239,1207,0.98,42.4,91.4,수상한 신호등 ,더 캐빈 컴퍼니 글·그림 ;송태욱 옮김,비룡소,2020,2~5세,3,대칭,False,9749
3,9788901121390,1294,0.96,43.2,91.2,기분을 말해 봐! ,글·그림: 앤서니 브라운 ;옮김: 홍연미,웅진씽크빅,2011,2~5세,1,더 큰 아이 쪽으로 넓음,False,18168
4,9791158360061,1678,0.9,46.2,91.2,기차가 덜컹덜컹 ,구도 노리코 글·그림 ;윤수정 옮김,책읽는곰,2015,3~6세,3,더 큰 아이 쪽으로 넓음,True,23910
5,9791158360672,1272,0.957,43.0,90.9,버스를 타요 ,구도 노리코 글·그림 ;윤수정 옮김,책읽는곰,2018,2~5세,3,더 큰 아이 쪽으로 넓음,True,13397
6,9788936446819,2340,0.81,50.0,90.5,수박 수영장 :안녕달 그림책 ,지은이: 안녕달,창비,2015,3~8세,3,더 큰 아이 쪽으로 넓음,True,55125
7,9788949105093,984,0.999,40.1,90.0,내 친구 브로리 ,이사랏 지음,비룡소,2018,2~4세,3,대칭,False,6163
8,9788997366125,1128,0.965,41.6,89.9,알록달록 카멜레온 ,글·그림: 아니타 베이스테르보스 ;옮김: 권미자,키즈엠,2016,2~5세,2,더 큰 아이 쪽으로 넓음,False,9808
9,9791158360665,1266,0.937,42.9,89.8,비행기를 타요 ,구도 노리코 글·그림 ;윤수정 옮김,책읽는곰,2018,2~5세,3,더 큰 아이 쪽으로 넓음,True,14250
10,9788949105024,1035,0.977,40.6,89.5,하나 둘 셋 공룡 ,마이크 브라운로우 글 ;노은정 옮김,비룡소,2018,2~5세,3,대칭,False,7271
11,9791158360382,1562,0.881,45.4,89.4,왜냐면… ,안녕달 글·그림,책읽는곰,2017,3~6세,3,더 큰 아이 쪽으로 넓음,True,27395
12,9791158360658,1234,0.932,42.7,89.2,배를 타요 ,구도 노리코 글·그림 ;윤수정 옮김,책읽는곰,2018,2~5세,3,더 큰 아이 쪽으로 넓음,True,14259
13,9788964132180,923,0.997,39.3,89.2,(뽀롱뽀롱 뽀로로) 나도 할 수 있어! 뽀로로 ,"키즈아이콘,아이코닉스 [편]",아이코닉스,2017,2~4세,3,대칭,False,6079
14,9788949105048,1106,0.953,41.4,89.1,괜찮아 아저씨 ,김경희 글·그림,비룡소,2017,2~5세,3,더 큰 아이 쪽으로 넓음,False,13748
15,9788964133132,940,0.984,39.5,88.8,크롱의 소원,아이코닉스 출판팀,아이코닉스,2018,2~4세,3,대칭,False,5804
16,9791185564951,1677,0.85,46.2,88.7,빵 공장이 들썩들썩 ,구도 노리코 글·그림 ;윤수정 옮김,책읽는곰,2015,3~6세,3,더 큰 아이 쪽으로 넓음,True,30744
17,9788964132142,927,0.983,39.4,88.5,뽀로로와 요리사 로봇 - 우정,키즈아이콘 편집부 (지은이),키즈아이콘(아이코닉스),2013,2~4세,3,대칭,False,6172
18,9788964132166,876,0.996,38.7,88.5,"친구야, 안녕! - 상상력",키즈아이콘 편집부 (지은이),키즈아이콘(아이코닉스),2013,2~4세,3,대칭,False,5488
19,9788964132135,862,0.996,38.5,88.3,(뽀롱뽀롱 뽀로로) 하늘을 날고 싶어요 ,"글·그림: 아이코닉스 엔터테인먼트,오콘 그림",아이코닉스 엔터테인먼트,2013,2~4세,3,대칭,False,5434
20,9788953527058,1307,0.899,43.3,88.3,구름빵,글·그림: 백희나;빛그림: 김향수,한솔교육,2006,3~6세,3,더 큰 아이 쪽으로 넓음,False,20651
21,9788927187004,909,0.981,39.2,88.2,엄마 손 꼭 잡고,박혜선 글;윤지회 그림,,2016,2~4세,3,대칭,False,5899
22,9788971968413,994,0.957,40.2,88.0,누가 내 머리에 똥 쌌어? ,베르너 홀츠바르프 글 ;볼프 에를브루흐 그림,사계절출판사,2003,2~5세,3,더 큰 아이 쪽으로 넓음,True,12654
23,9788964132159,862,0.986,38.5,87.8,(뽀롱뽀롱 뽀로로) 빨간 모자 패티 ,"키즈아이콘,스튜디오 게일 그림",아이코닉스,2018,2~5세,3,대칭,False,6260
24,9788993242447,1102,0.928,41.4,87.8,엄마가 화났다 ,최숙희 글·그림,책읽는곰,2011,2~5세,4,대칭,True,17086
25,9788993242706,2225,0.764,49.4,87.6,장수탕 선녀님 ,지은이: 백희나,책읽는곰,2012,3~8세,4,더 큰 아이 쪽으로 넓음,True,55983
26,9788964132173,850,0.981,38.4,87.4,(뽀롱뽀롱 뽀로로) 뽀로로와 마술피리 ,"키즈아이콘,아이코닉스 [편]",아이코닉스,2017,2~4세,3,대칭,False,5842
27,9791158360511,1336,0.87,43.6,87.0,비행기가 부웅부웅 ,구도 노리코 글·그림 ;윤수정 옮김,책읽는곰,2017,3~6세,3,더 큰 아이 쪽으로 넓음,True,22235
28,9791158360375,1970,0.78,48.0,87.0,알사탕 ,백희나,책읽는곰,2017,3~8세,4,더 큰 아이 쪽으로 넓음,True,49004
29,9788972590637,1250,0.884,42.8,87.0,무지개 물고기,마르쿠스 피스터 글.그림;공경희 옮김,시공사,1994,2~6세,4,대칭,True,21953
30,9788949105017,775,0.993,37.3,87.0,개미의 수박 파티 ,다무라 시게루 글·그림 ;서지연 옮김,비룡소,2017,2~5세,3,대칭,False,6253
31,9788927186922,915,0.954,39.2,86.9,아주 특별한 목욕탕,인현진 글;조미자 그림,,2016,2~5세,3,더 큰 아이 쪽으로 넓음,False,6878
32,9791157410187,913,0.952,39.2,86.8,코끼리 ,글·그림: 앤서니 브라운 ;옮김: 하빈영,현북스,2015,2~5세,3,더 큰 아이 쪽으로 넓음,True,10794
33,9788927187028,880,0.959,38.8,86.7,남자일까 여자일까?,장경원 글;국지승 그림,,2016,2~4세,3,더 큰 아이 쪽으로 넓음,False,6284
34,9788927187035,895,0.954,39.0,86.7,나는 내가 좋아,류혜인 글;이지은 그림,,2016,2~4세,3,더 큰 아이 쪽으로 넓음,False,6505
35,9788927186953,870,0.958,38.6,86.5,골고루 나라의 왕셰프,배영하 글;이수아 그림,,2016,2~5세,3,더 큰 아이 쪽으로 넓음,False,6883
36,9788927187011,829,0.966,38.1,86.4,"랑랑아, 따라가지 마",신미경 글;이수영 그림,,2016,2~4세,3,더 큰 아이 쪽으로 넓음,False,5908
37,9788993242317,881,0.951,38.8,86.3,너는 기적이야 ,최숙희 글·그림,책읽는곰,2010,2~5세,2,더 큰 아이 쪽으로 넓음,True,10824
38,9788962478518,980,0.925,40.0,86.2,우리는 언제나 다시 만나 ,윤여림 글 ;안녕달 그림,위즈덤하우스 미디어그룹,2017,2~5세,2,더 큰 아이 쪽으로 넓음,True,15101
39,9788967493707,812,0.965,37.8,86.1,감기책 ,글: 천미진 ;그림: 이지은,키즈엠,2015,2~5세,3,더 큰 아이 쪽으로 넓음,False,7894
40,9788949105222,737,0.985,36.7,86.0,앙글방글 케이크 ,쓰보이 주리 글·그림 ;고향옥 옮김,비룡소,2020,2~5세,3,대칭,False,6611
41,9788927186960,836,0.954,38.2,85.9,"황금 로봇, 출동!",정재은 글;김도윤 그림,,2016,2~5세,3,더 큰 아이 쪽으로 넓음,False,6424
42,9788964133606,711,0.991,36.3,85.9,(뽀롱뽀롱 뽀로로) 가장 멋진 기차 ,키즈아이콘 [편],아이코닉스,,2~4세,3,대칭,True,3642
43,9788927187073,700,0.994,36.2,85.9,엄마는 동생만 예뻐해,황혜경 글;에스더 그림,,2016,2~4세,3,대칭,False,5622
44,9788901047904,981,0.917,40.0,85.9,우리 엄마,앤서니 브라운 글·그림;허은미 옮김,웅진씽크빅,2005,2~5세,2,더 큰 아이 쪽으로 넓음,False,12277
45,9788949105154,686,0.998,35.9,85.9,냠냠 맛있는 우리 집 냉장고 ,다케요이 가코 글·그림 ;엄혜숙 옮김,비룡소,2019,2~4세,3,대칭,False,4957
