rank,isbn13,5세_대출,중심도,집중도,점수,제목,저자,출판사,출판년,추천연령,최다선택나이,분포,그림책,총대출
1,9788993242706,7104,0.985,1.514,6997.7,장수탕 선녀님 ,지은이: 백희나,책읽는곰,2012,3~8세,4,더 큰 아이 쪽으로 넓음,True,55983
2,9788936446819,6653,0.994,1.376,6613.9,수박 수영장 :안녕달 그림책 ,지은이: 안녕달,창비,2015,3~8세,3,더 큰 아이 쪽으로 넓음,True,55125
3,9788966350278,6699,0.96,1.852,6432.3,바다 100층짜리 집 ,글·그림: 이와이 도시오 ;옮김: 김숙,북뱅크,2014,4~8세,5,대칭,False,46190
4,9791158360214,6364,0.973,1.527,6190.3,이상한 엄마 ,백희나,책읽는곰,2016,3~8세,5,대칭,True,50284
5,9788989863786,5958,1.0,1.917,5955.9,100층짜리 집 ,글·그림: 이와이 도시오 ;옮김: 김숙,북뱅크,2021,3~7세,5,대칭,False,38144
6,9791158360375,6037,0.984,1.439,5943.0,알사탕 ,백희나,책읽는곰,2017,3~8세,4,더 큰 아이 쪽으로 넓음,True,49004
7,9788989863915,6038,0.96,1.943,5799.1,지하 100층짜리 집 ,글·그림: 이와이 도시오 ;옮긴이: 김숙,북뱅크,2011,4~7세,5,대칭,False,40094
8,9788993242980,5814,0.904,1.473,5253.4,슈퍼 거북 ,유설화 글·그림,책읽는곰,2014,4~9세,5,더 큰 아이 쪽으로 넓음,True,50498
9,9791158360801,5103,0.985,1.582,5028.9,이상한 손님 ,백희나,책읽는곰,2018,3~8세,4,더 큰 아이 쪽으로 넓음,True,39912
10,9788966350759,5403,0.928,1.894,5012.3,하늘 100층짜리 집 ,글·그림: 이와이 도시오 ;옮김: 김숙,북뱅크,2017,4~8세,5,더 큰 아이 쪽으로 넓음,False,37318
11,9791158360276,5083,0.954,1.823,4848.6,꽁꽁꽁 ,윤정주 글·그림,책읽는곰,2016,3~7세,5,대칭,True,33898
12,9791158360245,5057,0.938,2.033,4743.8,초밥이 빙글빙글 ,구도 노리코 글·그림 ;윤수정 옮김,책읽는곰,2016,3~6세,5,대칭,True,32358
13,9788958284482,4595,0.946,1.506,4345.3,감기 걸린 물고기 :박정섭 그림책 ,글·그림: 박정섭,사계절,2016,3~9세,5,대칭,True,37269
14,9788936454951,4400,0.987,1.321,4341.0,할머니의 여름휴가,안녕달,창비,2016,3~9세,3,더 큰 아이 쪽으로 넓음,True,38130
15,9788964963678,4502,0.951,1.818,4280.7,오싹오싹 팬티! ,글: 에런 레이놀즈 ;옮김: 홍연미,토토북,2018,4~8세,5,대칭,True,31114
16,9791185564951,5254,0.806,2.03,4235.3,빵 공장이 들썩들썩 ,구도 노리코 글·그림 ;윤수정 옮김,책읽는곰,2015,3~6세,3,더 큰 아이 쪽으로 넓음,True,30744
17,9791158361365,4059,1.0,1.609,4058.8,나는 개다 ,백희나,책읽는곰,2019,3~7세,4,더 큰 아이 쪽으로 넓음,True,30367
18,9788936455484,4260,0.951,1.57,4052.0,당근 유치원 ,지은이: 안녕달,창비,2020,3~7세,4,더 큰 아이 쪽으로 넓음,True,29796
19,9788956187372,4006,1.0,1.562,4006.0,고구마구마 ,지은이: 사이다,반달,2017,3~8세,4,더 큰 아이 쪽으로 넓음,True,28901
20,9791158361839,4034,0.986,1.804,3975.6,슈퍼 토끼 :유설화 그림책 ,유설화 글·그림,책읽는곰,2020,3~7세,5,대칭,True,28872
21,9791158361907,3882,0.994,1.914,3859.2,꽁꽁꽁 피자 ,윤정주 글·그림,책읽는곰,2020,3~7세,5,대칭,True,27223
22,9788901033518,3795,0.993,1.461,3768.6,돼지책,글·그림: 앤서니 브라운;옮긴이: 허은미,웅진씽크빅,2006,3~7세,7,더 어린 아이부터 봄,False,32016
23,9791158360986,4284,0.874,1.924,3745.9,아이스크림이 꽁꽁 ,구도 노리코 글·그림 ;윤수정 옮김,책읽는곰,2018,3~6세,3,더 큰 아이 쪽으로 넓음,True,27686
24,9788955820461,3679,0.983,1.715,3616.8,지하철을 타고서,글: 고대영;그림:김영진,길벗어린이,2006,3~7세,6,더 어린 아이부터 봄,True,29596
25,9788901232232,3831,0.943,1.563,3613.3,팥빙수의 전설 :이지은 그림책 ,글·그림: 이지은,웅진씽크빅,2019,3~8세,5,대칭,False,31098
26,9788955822823,3910,0.918,1.617,3590.1,싸워도 돼요? ,글: 고대영 ;그림: 김영진,길벗어린이,2013,4~8세,6,대칭,True,33648
27,9791185564074,3855,0.931,1.807,3587.7,달 샤베트 ,지은이: 백희나,책읽는곰,2014,3~7세,4,더 큰 아이 쪽으로 넓음,True,25793
28,9791185564128,4302,0.832,1.834,3580.3,꿈에서 맛본 똥파리 ,지은이: 백희나,책읽는곰,2014,3~6세,4,대칭,True,26570
29,9788986621136,3795,0.943,1.412,3578.6,강아지똥 ,글: 권정생 ;그림: 정승각,길벗어린이,2003,3~8세,7,더 어린 아이부터 봄,True,34957
30,9788955820966,3748,0.911,1.655,3415.4,거짓말 ,글: 고대영 ;그림: 김영진,길벗어린이,2009,4~8세,6,대칭,True,31928
31,9791158360382,4258,0.796,1.673,3390.7,왜냐면… ,안녕달 글·그림,책읽는곰,2017,3~6세,3,더 큰 아이 쪽으로 넓음,True,27395
32,9788925550633,3395,0.992,1.821,3368.7,오싹오싹 당근 ,애런 레이놀즈 글 ;홍연미 옮김,알에이치코리아,2013,3~7세,5,대칭,False,23209
33,9788970940199,3426,0.964,1.794,3302.7,도깨비를 빨아 버린 우리 엄마,사토 와키코,한림출판사,1991,3~7세,4,더 큰 아이 쪽으로 넓음,True,22787
34,9788955820904,3435,0.958,1.75,3290.4,두발자전거 배우기 ,글: 고대영 ;그림: 김영진,길벗어린이,2009,3~7세,6,대칭,True,28169
35,9791158362478,3435,0.952,1.865,3270.5,꽁꽁꽁 좀비 ,윤정주 글·그림,책읽는곰,2021,4~7세,6,대칭,True,26324
36,9788955821970,3550,0.921,1.566,3270.2,칭찬 먹으러 가요 ,글: 고대영 ;그림: 김영진,길벗어린이,2012,4~8세,6,대칭,True,31845
37,9788955821055,3620,0.894,1.411,3235.5,집안 치우기 ,글: 고대영 ;그림: 김영진,길벗어린이,2010,4~9세,6,대칭,True,34697
38,9788966351411,3314,0.973,1.977,3223.1,숲속 100층짜리 집 ,글·그림: 이와이 도시오 ;옮김: 김숙,북뱅크,2021,4~7세,5,대칭,False,21779
39,9791158360931,3306,0.973,2.005,3215.4,슈퍼 히어로의 똥 닦는 법 ,안영은 글 ;최미란 그림,책읽는곰,2018,3~7세,6,더 어린 아이부터 봄,True,23152
40,9788955823240,3264,0.982,1.709,3205.3,아빠는 회사에서 내 생각 해? ,김영진 글·그림,길벗어린이,2015,3~7세,4,더 큰 아이 쪽으로 넓음,True,23378
41,9791158361440,3632,0.866,2.189,3143.9,오싹오싹 도깨비 숲 ,구도 노리코 글·그림 ;윤수정 옮김,책읽는곰,2019,3~6세,5,대칭,True,21526
42,9791158361884,3466,0.905,2.063,3136.9,카레가 보글보글 ,구도 노리코 글·그림 ;윤수정 옮김,책읽는곰,2020,3~6세,5,대칭,True,21756
43,9788955820683,3477,0.899,1.682,3125.2,용돈주세요,글: 고대영;그림: 김영진,길벗어린이,2007,4~8세,6,대칭,True,30989
44,9791188867127,3166,0.982,1.733,3110.1,문어 목욕탕 ,최민지 글·그림,노란상상,2018,3~7세,6,더 어린 아이부터 봄,True,24131
45,9788955820805,3506,0.887,1.571,3109.1,손톱 깨물기 ,글: 고대영 ;그림: 김영진,길벗어린이,2008,4~8세,6,대칭,True,31788
46,9791186531778,3264,0.95,1.908,3100.7,아이스크림 걸음! ,박종진 씀 ;송선옥 그림,소원나무,2018,3~7세,5,대칭,False,21681
47,9791158360351,3180,0.968,2.0,3078.3,으리으리한 개집 ,유설화 글·그림,책읽는곰,2017,3~7세,5,대칭,True,21540
48,9788955821697,3347,0.917,1.563,3070.3,먹는 이야기 ,글: 고대영 ;그림: 김영진,길벗어린이,2011,4~8세,6,대칭,True,29888
49,9788958284055,3137,0.976,1.667,3062.8,눈물바다 ,서현 글·그림,사계절출판사,2009,3~7세,7,더 어린 아이부터 봄,True,25351
50,9788955823066,3143,0.972,1.858,3054.4,엄마는 회사에서 내 생각 해? ,김영진 글·그림,길벗어린이,2014,3~7세,5,대칭,True,21761
51,9791158362249,3176,0.957,1.947,3038.5,"용기를 내, 비닐장갑! :유설화 그림책 ",유설화,책읽는곰,2021,3~7세,5,대칭,True,22133
52,9788959761654,3412,0.847,1.758,2891.6,엉덩이탐정 :뿡뿡 사라진 과자를 찾아라! ,트롤 글·그림 ;전경아 옮김,문학수첩리틀북,2015,4~8세,6,대칭,True,30973
53,9791158360009,2994,0.957,1.994,2866.2,우리 가족 납치 사건 ,김고은 글·그림,책읽는곰,2015,3~7세,5,대칭,True,20074
54,9791158360511,3768,0.758,1.988,2857.2,비행기가 부웅부웅 ,구도 노리코 글·그림 ;윤수정 옮김,책읽는곰,2017,3~6세,3,더 큰 아이 쪽으로 넓음,True,22235
55,9788901205427,3501,0.807,2.132,2824.2,도토리 마을의 서점 ,글·그림: 나카야 미와 ;옮김: 김난주,웅진주니어,2015,3~6세,5,더 어린 아이부터 봄,False,19958
56,9791158360061,4135,0.681,1.886,2817.6,기차가 덜컹덜컹 ,구도 노리코 글·그림 ;윤수정 옮김,책읽는곰,2015,3~6세,3,더 큰 아이 쪽으로 넓음,True,23910
57,9791158363499,2809,0.991,2.042,2782.3,꽁꽁꽁 아이스크림 :윤정주 그림책 ,윤정주,책읽는곰,2022,3~7세,5,대칭,True,18802
58,9788901165806,3754,0.738,2.184,2771.3,도토리 마을의 유치원 ,글·그림: 나카야 미와 ;옮김: 김난주,웅진주니어,2014,3~6세,4,대칭,False,19601
59,9788959762088,3320,0.834,1.855,2769.5,엉덩이탐정 :뿡뿡 쪼그만 서장의 대위기!? ,트롤 글·그림 ;전경아 옮김,문학수첩리틀북,2017,4~8세,6,대칭,True,28651
60,9791160946673,3053,0.907,1.505,2767.6,이파라파냐무냐무 :이지은 그림책 ,글·그림: 이지은,사계절(사계절출판사),2020,4~9세,5,더 큰 아이 쪽으로 넓음,True,25701
61,9791160943061,2785,0.993,1.343,2766.0,메리 :안녕달 그림책 ,글·그림: 안녕달,사계절,2017,3~8세,2,더 큰 아이 쪽으로 넓음,True,23467
62,9788949110073,2795,0.982,1.706,2745.9,지각대장 존 ,존 버닝햄 글·그림 ;박상희 옮김,비룡소,2006,3~7세,7,더 어린 아이부터 봄,True,22604
63,9791158361518,3067,0.89,1.911,2728.2,쓰레기통 요정 :안녕달 그림책 ,안녕달 [지음],책읽는곰,2019,3~6세,5,대칭,True,20241
64,9788959761906,3384,0.804,1.577,2721.0,엉덩이탐정 :뿡뿡 무지개 다이아몬드를 찾아라! ,트롤 글·그림 ;전경아 옮김,문학수첩리틀북,2016,4~8세,6,대칭,True,32782
65,9788901149332,3350,0.796,2.178,2667.6,도토리 마을의 빵집 ,글·그림: 나카야 미와 ;옮김: 김난주,웅진씽크빅,2012,3~6세,5,더 어린 아이부터 봄,False,18708
66,9791158362515,3273,0.809,2.104,2646.5,케이크가 커졌어요! ,구도 노리코 글·그림 ;윤수정 옮김,책읽는곰,2021,3~6세,5,더 어린 아이부터 봄,True,19103
67,9788901154336,3509,0.749,2.096,2629.0,도토리 마을의 경찰관 ,글·그림: 나카야 미와 ;옮김: 김난주,웅진씽크빅,2013,3~6세,4,대칭,False,19397
68,9788994621937,2916,0.9,2.412,2623.7,말하면 힘이 세지는 말 ,미야니시 다쓰야 글·그림 ;김지연 옮김,책속물고기,2015,3~6세,5,대칭,True,15934
69,9791158361327,2987,0.857,2.172,2561.0,"잘했어, 쌍둥이 장갑! :유설화 그림책 ",유설화,책읽는곰,2019,3~6세,5,대칭,True,17607
70,9791158361112,2761,0.922,1.882,2545.8,아빠의 이상한 퇴근길 :김영진 그림책 ,지은이: 김영진,책읽는곰,2018,3~6세,5,대칭,True,19030
71,9788964964767,2622,0.961,2.106,2520.2,오싹오싹 크레용! ,글: 에런 레이놀즈 ;옮김: 홍연미,토토북,2022,4~7세,5,대칭,True,17401
72,9791160940046,2516,0.998,1.631,2510.5,두더지의 소원 :김상근 그림책 ,글·그림: 김상근,사계절,2017,3~7세,4,더 큰 아이 쪽으로 넓음,True,18456
73,9788955824476,2614,0.959,1.601,2507.4,친구 사귀기 ,김영진 글·그림,길벗어린이,2018,3~7세,6,대칭,True,22225
74,9788962477207,2718,0.903,1.903,2455.5,벗지 말걸 그랬어 ,글·그림: 요시타케 신스케 ;옮김: 유문조,스콜라,2016,3~6세,5,대칭,True,18080
75,9788911020003,3070,0.796,2.128,2442.9,난 토마토 절대 안 먹어,로렌 차일드 글·그림;조은수 옮김,국민서관,2001,3~6세,5,더 어린 아이부터 봄,True,17352
76,9788955823486,2520,0.965,1.579,2430.9,미안하고 고맙고 사랑해 ,김영진 글·그림,길벗어린이,2016,3~7세,7,더 어린 아이부터 봄,True,21292
77,9788990611260,2847,0.851,1.226,2422.3,틀려도 괜찮아,마키타 신지 글;유문조 옮김,토토북,2006,4~9세,7,더 어린 아이부터 봄,True,32270
78,9788955824896,2668,0.906,1.652,2418.3,틀리면 어떡해? ,김영진 글·그림,길벗어린이,2019,4~7세,6,대칭,True,23487
79,9791190077439,2425,0.996,1.759,2415.0,할머니의 용궁 여행 ,권민조 글·그림,천개의바람,2020,3~7세,5,대칭,True,17688
80,9788972590637,3572,0.673,1.762,2405.7,무지개 물고기,마르쿠스 피스터 글.그림;공경희 옮김,시공사,1994,2~6세,4,대칭,True,21953
81,9791158363475,2619,0.914,2.166,2394.4,으라차차 라면 가게 ,구도 노리코 글·그림 ;윤수정 옮김,책읽는곰,2022,3~6세,5,대칭,True,16449
82,9788959762408,2790,0.856,2.018,2387.0,엉덩이 탐정 :뿡뿡 괴도가 나타나다! ,트롤 글·그림 ;전경아 옮김,문학수첩리틀북,2019,4~7세,6,대칭,True,22143
83,9788955823905,2614,0.899,1.933,2350.4,아빠가 달려갈게! ,김영진 글·그림,길벗어린이,2017,3~6세,5,대칭,True,17074
84,9788953527058,3204,0.733,1.71,2349.3,구름빵,글·그림: 백희나;빛그림: 김향수,한솔교육,2006,3~6세,3,더 큰 아이 쪽으로 넓음,False,20651
85,9791158363178,2488,0.942,1.774,2343.7,두근두근 편의점 :김영진 그림책 ,지은이: 김영진,책읽는곰,2022,4~7세,6,대칭,True,20762
86,9791158360092,2357,0.993,1.766,2341.5,(이상한) 분실물 보관소 ,김영진 글·그림,책읽는곰,2015,3~7세,6,더 어린 아이부터 봄,True,18256
87,9788936455286,2449,0.955,1.736,2338.4,수영장 가는 날 =염혜원 그림책 /Saturday is swimming day ,글·그림: 염혜원,창비,2018,3~7세,5,대칭,True,16802
88,9788901113241,3550,0.658,2.112,2336.6,(앤서니 브라운의) 마술 연필 ,글·그림: 앤서니 브라운 ;옮김: 서애경,웅진씽크빅,2010,2~5세,4,대칭,False,17645
89,9788993242720,3213,0.724,2.057,2325.0,모르는 척 공주 ,최숙희 글·그림,책읽는곰,2012,2~6세,4,대칭,True,17550
90,9788936455668,2336,0.985,1.833,2302.1,건전지 아빠 :전승배·강인숙 그림책 ,"지은이: 전승배,강인숙",창비,2021,3~7세,5,대칭,True,16275
91,9788955823295,3086,0.736,1.962,2271.7,엄마가 정말 좋아요 ,미야니시 다쓰야 글·그림 ;이기웅 옮김,길벗어린이,2015,3~6세,3,더 큰 아이 쪽으로 넓음,True,16919
92,9788959762323,2709,0.837,1.753,2267.4,엉덩이 탐정 :뿡뿡 사라진 도시락 수수께끼! ,트롤 글·그림 ;전경아 옮김,문학수첩리틀북,2018,4~8세,6,대칭,True,23736
93,9788966350643,2285,0.989,2.074,2260.4,실수 왕 도시오 ,이와이 도시오 글·그림 ;김숙 옮김,북뱅크,2017,3~7세,6,더 어린 아이부터 봄,True,15264
94,9788911031023,2271,0.995,2.137,2258.9,인절미 시집가는 날 ,김아인 글·그림,국민서관,2013,3~7세,5,대칭,True,14831
95,9788949111674,2464,0.91,1.981,2243.4,줄무늬가 생겼어요,데이빗 섀논 글·그림;조세현 옮김,비룡소,2006,3~6세,5,대칭,True,17026
96,9791165810184,2418,0.927,1.971,2241.5,빵이 되고 싶은 토끼 ,마루야마 나오 지음 ;고향옥 옮김,스푼북,2020,3~6세,5,대칭,True,15616
97,9791158364120,2246,0.992,1.965,2228.1,꽁꽁꽁 캠핑 :윤정주 그림책 ,윤정주,책읽는곰,2023,3~7세,6,더 어린 아이부터 봄,True,16161
98,9788949110486,3025,0.733,2.001,2218.4,고릴라,앤서니 브라운,비룡소,1998,3~6세,4,대칭,True,17344
99,9788955825961,2583,0.858,2.1,2217.5,빵도둑 ,시바타 케이코 글·그림 ;황진희 옮김,길벗어린이,2021,3~6세,5,대칭,True,14907
100,9791158362270,2233,0.992,1.893,2215.0,엄마의 이상한 출근길 :김영진 그림책 ,지은이: 김영진,책읽는곰,2021,3~7세,6,더 어린 아이부터 봄,True,16105
