rank,isbn13,9세_대출,적합도,인기점수(50),추천도(100),제목,저자,출판사,출판년,추천연령,최다선택나이,분포,그림책,총대출
1,9788949161341,14366,0.999,49.6,99.6,만복이네 떡집 ,김리리 글 ;이승현 그림,비룡소,2010,7~11세,9,대칭,False,47100
2,9788928302802,15034,0.981,50.0,99.0,"아드님, 진지 드세요 ",강민경 글 ;이영림 그림,좋은책신사고 좋은책어린이,2011,8~11세,9,대칭,False,38797
3,9788986565522,10180,0.996,46.9,96.7,짜장 짬뽕 탕수육,김영주 글;고경숙 그림,재미마주,2002,8~11세,9,대칭,False,33527
4,9788935652792,10757,0.98,47.3,96.3,마법의 설탕 두 조각,미카엘 엔데 글;유혜자 옮김,한길사,2001,8~11세,9,대칭,False,38059
5,9791164131686,11829,0.961,48.1,96.1,흔한남매,원작: 흔한남매 ;그림: 유난희,미래엔,2019,8~11세,9,더 큰 아이 쪽으로 넓음,True,63485
6,9791164132454,11849,0.947,48.1,95.5,흔한남매,원작: 흔한남매 ;그림: 유난희,미래엔,2019,8~11세,9,더 큰 아이 쪽으로 넓음,True,62069
7,9788936414085,10962,0.959,47.5,95.4,나는 3학년 2반 7번 애벌레 :김원아 동화 ,지은이: 김원아 ;그린이: 이주희,창비,2016,7~9세,9,대칭,False,23914
8,9791164134267,12476,0.936,48.5,95.3,흔한남매,원작: 흔한남매 ;그림: 유난희,미래엔,2019,8~11세,9,더 큰 아이 쪽으로 넓음,True,63787
9,9788949161969,9917,0.967,46.7,95.0,(한밤중) 달빛 식당 ,이분희 글 ;윤태규 그림,비룡소,2018,8~11세,9,더 큰 아이 쪽으로 넓음,False,42158
10,9791164134090,8119,0.993,45.0,94.7,(추리 천재) 엉덩이 탐정,트롤 글·그림 ;김정화 옮김,미래엔,2016,7~11세,9,대칭,False,48785
11,9791162335123,9231,0.972,46.1,94.7,(추리 천재) 엉덩이 탐정,트롤 글·그림 ;김정화 옮김,미래엔,2016,7~11세,9,대칭,False,59098
12,9788949162058,8934,0.977,45.8,94.7,소원 떡집 ,김리리 글 ;이승현 그림,비룡소,2020,7~10세,9,대칭,False,30060
13,9791164135592,11803,0.931,48.1,94.6,흔한남매,원작: 흔한남매 ;그림: 유난희,미래엔,2019,8~11세,9,더 큰 아이 쪽으로 넓음,True,60537
14,9791164134847,11772,0.928,48.0,94.4,흔한남매,원작: 흔한남매 ;그림: 유난희,미래엔,2019,8~11세,9,더 큰 아이 쪽으로 넓음,True,60477
15,9788937848247,10098,0.952,46.8,94.4,(추리 천재) 엉덩이 탐정,트롤 글·그림 ;김정화 옮김,미래엔,2016,6~11세,9,대칭,False,66793
16,9788937889714,10052,0.95,46.8,94.3,(추리 천재) 엉덩이 탐정,트롤 글·그림 ;김정화 옮김,미래엔,2016,6~11세,9,대칭,False,68196
17,9791162332542,9661,0.957,46.4,94.3,(추리 천재) 엉덩이 탐정,트롤 글·그림 ;김정화 옮김,미래엔,2016,6~11세,9,대칭,False,62431
18,9788936447694,8565,0.975,45.5,94.2,고양이 해결사 깜냥,홍민정 동화 ;김재희 그림,창비,2020,8~11세,9,대칭,False,46424
19,9791164131914,7633,0.992,44.5,94.2,(추리 천재) 엉덩이 탐정,트롤 글·그림 ;김정화 옮김,미래엔,2016,7~11세,9,대칭,False,49580
20,9788949162041,8779,0.968,45.7,94.1,장군이네 떡집 ,김리리 글 ;이승현 그림,비룡소,2020,7~10세,9,대칭,False,29406
21,9791164130764,7292,0.994,44.2,93.9,추리 천재 엉덩이 탐정과 카레 사건 ,트롤 글·그림 ;김정화 옮김,미래엔,2019,7~11세,9,대칭,False,46750
22,9791162339466,8451,0.971,45.4,93.9,(추리 천재) 엉덩이 탐정,트롤 글·그림 ;김정화 옮김,미래엔,2016,6~11세,9,대칭,False,56223
23,9791195794799,11645,0.918,47.9,93.9,설민석의 한국사 대모험,"글: 설민석,그림: 정현희",휴먼큐브,2017,8~11세,9,더 큰 아이 쪽으로 넓음,False,63000
24,9791164136261,11444,0.921,47.8,93.8,흔한남매,원작: 흔한남매 ;그림: 유난희,미래엔,2019,8~11세,9,더 큰 아이 쪽으로 넓음,True,56948
25,9788937853470,10060,0.94,46.8,93.8,(추리 천재) 엉덩이 탐정,트롤 글·그림 ;김정화 옮김,미래엔,2016,6~11세,9,대칭,False,67362
26,9788937838750,10134,0.938,46.8,93.7,(추리 천재) 엉덩이 탐정,트롤 글·그림 ;김정화 옮김,미래엔,2016,6~10세,9,대칭,False,68603
27,9791164137527,10301,0.927,47.0,93.3,흔한남매,원작: 흔한남매 ;그림: 유난희,미래엔,2019,8~11세,9,더 큰 아이 쪽으로 넓음,True,51929
28,9791158681258,6767,0.993,43.6,93.2,(읽으면서 바로 써먹는) 어린이 속담 ,글·그림: 한날,파란정원,2017,7~11세,9,대칭,False,32880
29,9788949161945,6512,0.998,43.3,93.2,변신돼지 ,박주혜 글 ;이갑규 그림,비룡소,2017,7~11세,9,대칭,False,30629
30,9788949162027,6650,0.994,43.4,93.2,꽝 없는 뽑기 기계 ,곽유진 글 ;차상미 그림,비룡소,2020,7~10세,9,대칭,False,28194
31,9791164137053,6946,0.987,43.8,93.1,(추리 천재) 엉덩이 탐정,트롤 글·그림 ;김정화 옮김,미래엔,2016,7~11세,9,대칭,False,41993
32,9788936451158,6448,0.999,43.2,93.1,마법사 똥맨 :송언 동화 ,송언 [지음] ;김유대 그림,창비,2008,8~10세,9,대칭,False,18221
33,9788936447861,8306,0.957,45.2,93.1,고양이 해결사 깜냥,홍민정 동화 ;김재희 그림,창비,2020,8~11세,9,더 큰 아이 쪽으로 넓음,False,42388
34,9791185751337,9085,0.938,45.9,92.8,진짜 투명인간 ,지은이: 레미 쿠르종 ;옮긴이: 이정주,씨드북,2015,7~9세,9,더 어린 아이부터 봄,True,20352
35,9791164138197,9796,0.925,46.6,92.8,흔한남매,원작: 흔한남매 ;그림: 유난희,미래엔,2019,8~11세,9,더 큰 아이 쪽으로 넓음,True,49872
