rank,isbn13,13세_대출,적합도,인기점수(50),추천도(100),제목,저자,출판사,출판년,추천연령,최다선택나이,분포,그림책,총대출
1,9788972782810,2338,0.787,45.7,85.1,아홉살 인생 - 개정판,위기철,청년사,2010,13세,13,더 어린 아이부터 봄,True,3555
2,9788990364982,894,0.858,40.1,83.0,큰발 중국 아가씨,렌세이 나미오카 글;최인자 옮김,달리,2006,13세,13,더 어린 아이부터 봄,False,894
3,9788987721514,884,0.857,40.0,82.9,흰 종이 수염:하근찬 단편집,하근찬 글;강우현 그림,다림,2006,13세,13,더 어린 아이부터 봄,False,884
4,9788987721194,779,0.841,39.3,81.3,(이효석 단편집)메밀꽃 필 무렵,이효석 글;권사우 그림,다림,1999,13세,13,더 어린 아이부터 봄,False,779
5,9788957982570,1426,0.769,42.8,81.3,소희의 방 ,이금이 지음,푸른책들,2010,13세,13,더 어린 아이부터 봄,False,2158
6,9788987721668,700,0.827,38.6,80.0,기억 속의 들꽃,윤흥길 글;허구 그림,다림,2005,13세,13,더 어린 아이부터 봄,False,700
7,9788987721491,694,0.825,38.6,79.9,아우를 위하여:황석영 단편집,황석영 글;이상권 그림,다림,2006,13세,13,더 어린 아이부터 봄,False,694
8,9788971968604,664,0.819,38.3,79.3,검은 여우,베치 바이어스 지음;햇살과 나무꾼 옮김,사계절출판사,2002,13세,13,더 어린 아이부터 봄,False,664
9,9788987721224,612,0.807,37.8,78.2,(선생님의)밥그릇:이청준 단편집,이청준 글;강우현 그림,다림,2000,13세,13,더 어린 아이부터 봄,False,612
10,9788980408474,513,0.786,36.8,76.1,언니가 가출했다,크리스티네 뇌스틀링거 지음;한기상 옮김,우리교육,2007,13세,13,더 어린 아이부터 봄,False,741
11,9788987721125,928,0.71,40.3,75.8,(김유정 단편집)봄봄,김유정 글;한병호 그림,다림,1999,12~13세,13,더 어린 아이부터 봄,False,1558
12,9788937842993,934,0.696,40.3,75.1,자전거 도둑,박완서 [글];최용선 그림,대한교과서,2007,12~13세,13,더 어린 아이부터 봄,False,1852
13,9788958622710,524,0.761,36.9,75.0,미술관에 가고 싶어지는 미술책 :탄탄한 그림 감상의 길잡이 ,김영숙 지음,Humanist(휴머니스트),2011,13세,13,더 어린 아이부터 봄,False,674
14,9788943305840,1423,0.641,42.8,74.9,책만 보는 바보:이덕무와 그의 벗들 이야기,안소영 지음;강남미 그림,보림출판사,2005,12~13세,13,더 어린 아이부터 봄,False,3068
15,9788992711425,906,0.682,40.2,74.2,세상을 살린 10명의 용기 있는 과학자들 ,"레슬리 덴디,최창숙 옮김",다른,2011,12~13세,13,더 어린 아이부터 봄,False,1923
16,9788937886966,2963,0.533,47.1,73.8,(10대를 위한) 정의란 무엇인가 :하버드대 마이클 샌델 교수의 정의 수업 ,마이클 샌델 원저 ;조혜진 그림,미래엔,2014,12~13세,13,더 어린 아이부터 봄,False,11210
17,9788949135120,452,0.754,36.1,73.7,똥두 ,국무영 글·그림,비룡소,2020,13세,13,더 어린 아이부터 봄,True,452
18,9788987721217,4807,0.47,50.0,73.5,(박완서 동화집)자전거 도둑,박완서 글;한병호 그림,다림,2000,11~13세,13,더 어린 아이부터 봄,False,21648
19,9788992010788,393,0.726,35.2,71.5,상위 5%로 가는 물리교실,"글: 신학수,김승국",위즈덤하우스,2008,8~13세,13,더 어린 아이부터 봄,False,393
20,9788983782274,388,0.724,35.2,71.3,퍼시잭슨과 올림포스의 신,릭 라이어던 지음 ;이수현 옮김,서울교육,,8~13세,13,더 어린 아이부터 봄,False,388
21,9788930210560,383,0.723,35.1,71.3,(100년 후에도 읽고 싶은)한국명작단편,한국명작단편선정위원회 엮음;이은천 [공]그림,예림당,2005,8~13세,13,더 어린 아이부터 봄,False,383
22,9788934993612,360,0.725,34.7,71.0,(도덕을 위한) 철학통조림 :매콤한 맛 ,김용규 글 ;이우일 그림,김영사,2024,8~13세,13,더 어린 아이부터 봄,False,415
23,9788957981696,678,0.65,38.4,71.0,첫사랑 ,이금이 지음,푸른책들,2009,12~13세,13,더 어린 아이부터 봄,False,1285
24,9788949135137,368,0.714,34.8,70.5,똥두 ,국무영 글·그림,비룡소,2020,8~13세,13,더 어린 아이부터 봄,True,368
25,9788983782298,357,0.707,34.7,70.0,퍼시잭슨과 올림포스의 신,릭 라이어던 지음 ;이수현 옮김,서울교육,,8~13세,13,더 어린 아이부터 봄,False,357
26,9788971846698,353,0.704,34.6,69.8,(어린이를 위한) 지도 밖으로 행군하라,한비야 글 ;김무연 그림,푸른숲,2011,8~13세,13,더 어린 아이부터 봄,False,353
27,9788901038964,374,0.695,34.9,69.7,우리 누나,오카 슈조 지음;김난주 옮김,웅진닷컴,2002,8~13세,13,더 어린 아이부터 봄,False,731
28,9791168417564,337,0.706,34.3,69.6,(10대를 위한) 돈으로 살 수 없는 것들 =하버드대 마이클 샌델 교수의 경제 수업 /What money can't buy ,원저: 마이클 샌델 ;그림: 문수민,미래엔,2023,8~13세,13,더 어린 아이부터 봄,False,637
29,9788983782281,347,0.701,34.5,69.5,퍼시잭슨과 올림포스의 신,릭 라이어던 지음 ;이수현 옮김,서울교육,,8~13세,13,더 어린 아이부터 봄,False,347
30,9788937843013,373,0.69,34.9,69.4,그 많던 싱아는 누가 다 먹었을까,박완서 [글];김소희 그림,대한교과서,2007,7~13세,13,더 어린 아이부터 봄,False,581
31,9788949140889,285,0.72,33.3,69.3,이상한 나라의 앨리스,루이스 캐럴 글;김경미 옮김,비룡소,2005,8~13세,13,더 어린 아이부터 봄,False,490
32,9791125694700,283,0.711,33.3,68.9,마음의 소리,원작: 조석,학산문화사,2017,8~13세,13,더 어린 아이부터 봄,True,884
33,9788965912330,306,0.702,33.8,68.8,똑똑한 지리책,김진수 지음 ;박경화 그림,휴먼어린이,2014,8~13세,13,더 어린 아이부터 봄,False,631
34,9788993746280,773,0.591,39.2,68.8,(어린이를 위한) 고릴라는 핸드폰을 미워해 ,지은이: 박경화 ;그린이: 김소영,북센스,2015,12~13세,13,더 어린 아이부터 봄,False,2517
35,9791125698593,279,0.71,33.2,68.7,마음의 소리,원작: 조석,학산문화사,2017,8~13세,13,더 어린 아이부터 봄,True,866
36,9788983782502,330,0.69,34.2,68.7,레인저스,존 플래너건 지음 ;박중서 옮김,서울교육,2008,7~13세,13,더 어린 아이부터 봄,False,330
37,9791185786896,330,0.69,34.2,68.7,지킬 박사와 하이드 ,글: 로버트 루이스 스티븐슨 ;옮김: 최정수,지학사,2017,7~13세,13,더 어린 아이부터 봄,False,330
38,9788952724755,273,0.711,33.1,68.6,톰 소여의 모험,마크 트웨인 글;지혜연 옮김,시공사,2004,8~13세,13,더 어린 아이부터 봄,False,457
39,9788937811333,325,0.688,34.1,68.5,(만화)삼국지,나관중 원작;이희재 만화,대한교과서,,7~13세,13,더 어린 아이부터 봄,True,325
40,9788971992920,349,0.678,34.5,68.4,태일이,글: 박태옥 ;그림: 최호철,돌베개,,7~13세,13,더 어린 아이부터 봄,True,757
41,9788935655618,324,0.686,34.1,68.4,열네 살의 여름,베치 바이어스 글;김영진 옮김,한길사,2003,7~13세,13,더 어린 아이부터 봄,False,324
42,9788971993279,362,0.673,34.7,68.4,태일이,글: 박태옥 ;그림: 최호철,돌베개,,7~13세,13,더 어린 아이부터 봄,True,826
43,9788936440145,1800,0.481,44.2,68.2,몽실언니 :권정생 소년소설 ,지은이: 권정생 ;그린이: 이철수,창비,2007,12~13세,13,더 어린 아이부터 봄,False,6980
44,9788952724243,266,0.705,32.9,68.2,버드나무에 부는 바람,케네스 그레이엄 글;신수진 옮김,시공사,2003,8~13세,13,더 어린 아이부터 봄,False,437
45,9788901057804,318,0.682,34.0,68.1,율리시스 무어,지은이: 피에르도메니코 바칼라리오 ;옮긴이: 이현경,웅진씽크빅,2006,7~13세,13,더 어린 아이부터 봄,False,318
46,9788937811364,317,0.683,34.0,68.1,(만화)삼국지,원작: 나관중;만화: 이희재,대한교과서,2005,7~13세,13,더 어린 아이부터 봄,True,317
47,9788965135432,315,0.683,33.9,68.1,누가 뭐래도 해피엔딩 ,크리스틴 해밀 지음 ;윤영 옮김,아름다운사람들,2019,8~13세,13,더 어린 아이부터 봄,False,315
48,9788971993262,334,0.675,34.3,68.0,태일이,글: 박태옥 ;그림: 최호철,돌베개,,7~13세,13,더 어린 아이부터 봄,True,708
