rank,isbn13,10세_대출,적합도,인기점수(50),추천도(100),제목,저자,출판사,출판년,추천연령,최다선택나이,분포,그림책,총대출
1,9791196025809,10220,0.997,48.5,98.3,설민석의 한국사 대모험,"글: 설민석,그림: 정현희",휴먼큐브,2017,9~12세,11,더 어린 아이부터 봄,False,60137
2,9791196025861,10052,0.998,48.4,98.3,설민석의 한국사 대모험,"글: 설민석,그림: 정현희",휴먼큐브,2017,9~12세,9,더 큰 아이 쪽으로 넓음,False,57597
3,9791196025847,10096,0.989,48.4,97.9,설민석의 한국사 대모험,"글: 설민석,그림: 정현희",휴먼큐브,2017,9~12세,11,더 어린 아이부터 봄,False,56884
4,9791196232160,9995,0.97,48.4,96.9,설민석의 한국사 대모험,"글: 설민석,그림: 정현희",휴먼큐브,2017,9~12세,11,더 어린 아이부터 봄,False,54761
5,9791195794799,10321,0.964,48.5,96.7,설민석의 한국사 대모험,"글: 설민석,그림: 정현희",휴먼큐브,2017,8~11세,9,더 큰 아이 쪽으로 넓음,False,63000
6,9791188874088,8970,0.977,47.8,96.6,설민석의 한국사 대모험,"글: 설민석,그림: 정현희",휴먼큐브,2017,9~12세,11,더 어린 아이부터 봄,False,48947
7,9788952781819,7042,1.0,46.5,96.5,52층 나무 집 ,앤디 그리피스 글 ;신수진 옮김,시공사,2016,8~12세,9,더 큰 아이 쪽으로 넓음,False,42370
8,9788957982662,7903,0.988,47.1,96.5,지우개 따먹기 법칙 :유순희 장편동화 ,지은이: 유순희 ;그린이: 최정인,푸른책들,2011,9~11세,10,대칭,False,19756
9,9788952782380,6563,0.999,46.2,96.1,65층 나무 집 ,앤디 그리피스 글 ;신수진 옮김,시공사,2016,8~12세,9,더 큰 아이 쪽으로 넓음,False,39194
10,9791188874149,8847,0.965,47.7,96.0,설민석의 한국사 대모험,"글: 설민석,그림: 정현희",휴먼큐브,2017,9~12세,11,더 어린 아이부터 봄,False,47558
11,9791164060481,7852,0.977,47.1,96.0,(이상한 과자 가게) 전천당,히로시마 레이코 글 ;김정화 옮김,길벗스쿨,2019,9~12세,9,더 큰 아이 쪽으로 넓음,False,44861
12,9788952784933,6414,0.994,46.0,95.8,78층 나무 집 ,앤디 그리피스 글 ;신수진 옮김,시공사,2017,9~12세,9,더 큰 아이 쪽으로 넓음,False,38311
13,9788950983079,6027,0.998,45.7,95.6,정재승의 인간 탐구 보고서,"글: 정재은,특대호 원고: 오경은",아울북(북이십일 아울북),2019,9~12세,9,더 큰 아이 쪽으로 넓음,False,33654
14,9791188874262,8841,0.955,47.7,95.5,설민석의 한국사 대모험,"글: 설민석,그림: 정현희",휴먼큐브,2017,9~12세,11,더 어린 아이부터 봄,False,47296
15,9791188874217,8430,0.959,47.5,95.4,설민석의 한국사 대모험,"글: 설민석,그림: 정현희",휴먼큐브,2017,9~12세,11,더 어린 아이부터 봄,False,45307
16,9788937847301,6111,0.992,45.8,95.4,바이러스에서 살아남기,글: 곰돌이 co. ;그림: 한현동,미래엔 컬처그룹,2010,9~12세,10,대칭,True,35749
17,9788950982898,5410,0.999,45.1,95.1,마법천자문 :손오공의 한자 대탐험,"저자: 스튜디오시리얼,정수영",아울북,2005,8~12세,9,더 큰 아이 쪽으로 넓음,True,34080
18,9791164060498,7754,0.961,47.0,95.1,(이상한 과자 가게) 전천당,히로시마 레이코 글 ;김정화 옮김,길벗스쿨,2019,9~12세,10,대칭,False,42060
19,9791188874293,8255,0.954,47.4,95.1,설민석의 한국사 대모험,"글: 설민석,그림: 정현희",휴먼큐브,2017,9~12세,11,더 어린 아이부터 봄,False,45123
20,9791188874224,5562,0.995,45.3,95.0,(설민석의) 통일 대모험 ,"글: 설민석,그림: 원프로",휴먼큐브,2018,9~11세,10,대칭,False,28376
21,9788958288053,5668,0.993,45.4,95.0,귀신 선생님과 진짜 아이들 ,남동윤 만화,사계절,2014,9~12세,9,더 큰 아이 쪽으로 넓음,True,29585
22,9788950980801,5468,0.995,45.2,95.0,마법천자문 :손오공의 한자 대탐험,"저자: 스튜디오시리얼,정수영",아울북,2005,8~12세,9,더 큰 아이 쪽으로 넓음,True,34774
23,9791188874385,7486,0.962,46.9,94.9,설민석의 한국사 대모험,"글: 설민석,그림: 정현희",휴먼큐브,2017,9~12세,11,더 어린 아이부터 봄,False,39948
24,9791168414471,5632,0.991,45.4,94.9,흔한남매,원작: 흔한남매 ;그림: 유난희,미래엔,2019,9~12세,9,더 큰 아이 쪽으로 넓음,True,33949
