rank,isbn13,4세_대출,적합도,인기점수(50),추천도(100),제목,저자,출판사,출판년,추천연령,최다선택나이,분포,그림책,총대출
1,9791158360382,2984,0.976,47.5,96.3,왜냐면… ,안녕달 글·그림,책읽는곰,2017,3~6세,3,더 큰 아이 쪽으로 넓음,True,27395
2,9788901113241,2427,1.0,46.3,96.3,(앤서니 브라운의) 마술 연필 ,글·그림: 앤서니 브라운 ;옮김: 서애경,웅진씽크빅,2010,2~5세,4,대칭,False,17645
3,9788936446819,4515,0.924,50.0,96.2,수박 수영장 :안녕달 그림책 ,지은이: 안녕달,창비,2015,3~8세,3,더 큰 아이 쪽으로 넓음,True,55125
4,9788972590637,2659,0.986,46.8,96.1,무지개 물고기,마르쿠스 피스터 글.그림;공경희 옮김,시공사,1994,2~6세,4,대칭,True,21953
5,9791185564128,2709,0.98,46.9,95.9,꿈에서 맛본 똥파리 ,지은이: 백희나,책읽는곰,2014,3~6세,4,대칭,True,26570
6,9788993242706,4552,0.915,50.0,95.7,장수탕 선녀님 ,지은이: 백희나,책읽는곰,2012,3~8세,4,더 큰 아이 쪽으로 넓음,True,55983
7,9791185564951,3141,0.957,47.8,95.6,빵 공장이 들썩들썩 ,구도 노리코 글·그림 ;윤수정 옮김,책읽는곰,2015,3~6세,3,더 큰 아이 쪽으로 넓음,True,30744
8,9788901165806,2392,0.989,46.2,95.6,도토리 마을의 유치원 ,글·그림: 나카야 미와 ;옮김: 김난주,웅진주니어,2014,3~6세,4,대칭,False,19601
9,9788990364661,2121,0.999,45.5,95.4,고 녀석 맛있겠다,미야니시 타츠야 글그림;백승인 옮김,달리,2004,3~6세,4,대칭,False,16674
10,9788901154336,2239,0.989,45.8,95.2,도토리 마을의 경찰관 ,글·그림: 나카야 미와 ;옮김: 김난주,웅진씽크빅,2013,3~6세,4,대칭,False,19397
11,9791158360375,3954,0.918,49.2,95.1,알사탕 ,백희나,책읽는곰,2017,3~8세,4,더 큰 아이 쪽으로 넓음,True,49004
12,9788993242720,1995,0.996,45.1,94.9,모르는 척 공주 ,최숙희 글·그림,책읽는곰,2012,2~6세,4,대칭,True,17550
13,9788936455484,2830,0.953,47.2,94.8,당근 유치원 ,지은이: 안녕달,창비,2020,3~7세,4,더 큰 아이 쪽으로 넓음,True,29796
14,9788955823295,1976,0.994,45.0,94.8,엄마가 정말 좋아요 ,미야니시 다쓰야 글·그림 ;이기웅 옮김,길벗어린이,2015,3~6세,3,더 큰 아이 쪽으로 넓음,True,16919
15,9788949110486,1930,0.995,44.9,94.7,고릴라,앤서니 브라운,비룡소,1998,3~6세,4,대칭,True,17344
16,9791158360276,3103,0.938,47.7,94.6,꽁꽁꽁 ,윤정주 글·그림,책읽는곰,2016,3~7세,5,대칭,True,33898
17,9788959761593,1963,0.992,45.0,94.6,바다탐험대 옥토넛 :깊고 넓은 신비한 바다 여행 ,메오미 지음 ;홍연미 옮김,문학수첩 리틀북,2014,3~5세,4,대칭,False,11803
18,9788953582767,1851,0.999,44.7,94.6,구름빵 뒤죽박죽 방 치우기 ,"글·그림: GIMC,김향수",한솔교육,2011,3~6세,4,대칭,False,13575
19,9791158360986,2676,0.95,46.8,94.4,아이스크림이 꽁꽁 ,구도 노리코 글·그림 ;윤수정 옮김,책읽는곰,2018,3~6세,3,더 큰 아이 쪽으로 넓음,True,27686
20,9788953581180,1765,0.995,44.4,94.1,구름빵 : 엄마의 립스틱,GIMC|DPS,한솔수북,2011,3~6세,3,더 큰 아이 쪽으로 넓음,False,13771
21,9791158360214,3898,0.9,49.1,94.1,이상한 엄마 ,백희나,책읽는곰,2016,3~8세,5,대칭,True,50284
22,9791158360474,1830,0.989,44.6,94.1,냠냠 빙수 ,윤정주 글·그림,책읽는곰,2017,3~6세,4,대칭,True,16282
23,9788993242447,2179,0.968,45.6,94.0,엄마가 화났다 ,최숙희 글·그림,책읽는곰,2011,2~5세,4,대칭,True,17086
24,9788901149332,2051,0.974,45.3,93.9,도토리 마을의 빵집 ,글·그림: 나카야 미와 ;옮김: 김난주,웅진씽크빅,2012,3~6세,5,더 어린 아이부터 봄,False,18708
25,9788959761678,1647,0.998,44.0,93.9,바다탐험대 옥토넛 :외톨이 괴물 ,메오미 지음 ;고정아 옮김,문학수첩리틀북,2015,3~5세,4,대칭,True,9050
26,9791185564227,1655,0.996,44.0,93.8,삐약이 엄마 ,지은이: 백희나,책읽는곰,2014,2~6세,4,대칭,True,15309
27,9791185564142,1779,0.988,44.4,93.8,진짜 코 파는 이야기,이갑규 (지은이),책읽는곰,2014,2~5세,4,대칭,True,13558
28,9791185564180,1685,0.994,44.1,93.8,"안 돼, 내 과자야! ",백주희 글·그림,책읽는곰,2014,3~6세,4,대칭,True,14347
29,9788959761623,1598,1.0,43.8,93.8,바다탐험대 옥토넛 :찡글이 물고기 ,메오미 지음 ;고정아 옮김,문학수첩리틀북,2014,3~5세,4,대칭,True,8260
30,9791185564074,2420,0.95,46.2,93.8,달 샤베트 ,지은이: 백희나,책읽는곰,2014,3~7세,4,더 큰 아이 쪽으로 넓음,True,25793
31,9788952754851,1749,0.988,44.3,93.7,무지개 물고기와 신기한 친구들 ,마르쿠스 피스터 그림·글 ;조경수 옮김,시공사,2009,2~5세,4,대칭,True,12605
32,9788998465674,1618,0.996,43.9,93.7,으악! 치과다! ,스테파니 블레이크 글·그림 ;김영신 옮김,한울림어린이,2015,3~6세,4,대칭,True,10855
33,9788991871595,1626,0.996,43.9,93.7,까까똥꼬 ,스테파니 블레이크 글·그림 ;김영신 옮김,한울림어린이,2010,3~5세,4,대칭,True,10391
34,9788959761821,1584,0.999,43.7,93.7,바다탐험대 옥토넛 :그림자 바다 ,메오미 지음 ;고정아 옮김,문학수첩리틀북,2015,3~5세,4,대칭,True,8525
35,9788952764270,1858,0.98,44.7,93.7,"무지개 물고기야, 엄마가 지켜 줄게 ",마르쿠스 피스터 그림·글 ;김영진 옮김,시공사,2012,2~5세,4,대칭,True,13330
36,9788953581166,1851,0.98,44.7,93.7,구름빵 : 키 크는 빵 주세요,GIMC|DPS,한솔수북,2011,3~6세,3,더 큰 아이 쪽으로 넓음,False,14499
37,9788997366132,1933,0.975,44.9,93.6,바닷가로 떠나요! ,글: 엘런 델랑어 ;옮김: 정은미,키즈엠,2022,2~5세,4,대칭,False,13609
38,9788953582750,1560,0.999,43.6,93.6,구름빵 그림자가 사라졌어 ,"글·그림: GIMC,김향수",한솔교육,2011,3~6세,4,대칭,False,11606
39,9788993242935,1566,0.999,43.7,93.6,"소피가 화나면, 정말 정말 화나면 ",몰리 뱅 글·그림 ;박수현 옮김,책읽는곰,2013,2~6세,4,대칭,True,12537
40,9791158360801,3258,0.911,48.0,93.6,이상한 손님 ,백희나,책읽는곰,2018,3~8세,4,더 큰 아이 쪽으로 넓음,True,39912
41,9788953588264,1616,0.993,43.9,93.5,구름빵 잘하는 건 다 달라 ,"글·그림: GIMC,김향수",한솔교육,2013,3~6세,4,대칭,False,12473
42,9788953583986,1588,0.995,43.7,93.5,구름빵 콩닥콩닥 거짓말 ,"글·그림: GIMC,김향수",한솔교육,2012,3~6세,4,대칭,False,12456
