rank,isbn13,1세_대출,적합도,인기점수(50),추천도(100),제목,저자,출판사,출판년,추천연령,최다선택나이,분포,그림책,총대출
80,9788962478341,225,0.775,41.7,80.5,"동물들아, 같이 놀래? ",글·그림: 김현,스콜라,2017,1~2세,1,더 큰 아이 쪽으로 넓음,False,1344
81,9788955821475,224,0.803,41.7,81.8,찾았다! ,문승연 글·그림,길벗어린이,2011,1~2세,1,더 큰 아이 쪽으로 넓음,True,1558
82,9788970940540,221,0.801,41.6,81.6,손이 나왔네 ,하야시 아키코 글·그림 ;이영준 옮김,한림출판사,2004,1~2세,1,더 큰 아이 쪽으로 넓음,True,1180
83,9788901220451,221,0.729,41.6,78.0,끙끙 응가 놀이 ,글·그림: 기무라 유이치 ;옮김: 김미형,웅진씽크빅,2017,1~3세,1,더 큰 아이 쪽으로 넓음,False,1639
84,9788993242447,221,0.421,41.6,62.6,엄마가 화났다 ,최숙희 글·그림,책읽는곰,2011,2~5세,4,대칭,True,17086
85,9788949159959,220,0.81,41.5,82.0,변신돼지 ,박주혜 글 ;이갑규 그림,비룡소,2017,1~8세,1,더 큰 아이 쪽으로 넓음,False,3445
86,9788970940557,220,0.805,41.5,81.8,싹싹싹 ,글·그린이: 하야시 아키코 ;옮긴이: 이영준,한림출판사,1994,1~2세,1,더 큰 아이 쪽으로 넓음,True,1127
87,9791190077224,220,0.619,41.5,72.5,출동! 아빠 자동차 ,신혜영 글 ;이명하 그림,천개의바람,2019,1~3세,2,대칭,True,2186
88,9791188909445,219,0.825,41.5,82.8,이불이 좋아 ,지음: 김도아,봄봄(봄봄출판사),2020,1~2세,1,더 큰 아이 쪽으로 넓음,True,529
89,9788958284482,217,0.271,41.5,55.0,감기 걸린 물고기 :박정섭 그림책 ,글·그림: 박정섭,사계절,2016,3~9세,5,대칭,True,37269
90,9788943310318,217,0.783,41.4,80.6,채소 이야기 ,박은정 지음,보림,2016,1~3세,1,더 큰 아이 쪽으로 넓음,True,1312
91,9788955822816,216,0.788,41.4,80.8,엄마랑 아빠랑 높이높이 ,우치다 린타로 글 ;이기웅 옮김,길벗어린이,2013,1~2세,1,더 큰 아이 쪽으로 넓음,True,992
92,9788901220529,216,0.78,41.4,80.4,쏘옥 옷 입기 놀이 ,글·그림: 기무라 유이치 ;옮김: 최윤정,웅진씽크빅,2017,1~2세,1,더 큰 아이 쪽으로 넓음,False,1234
93,9788949181509,215,0.738,41.4,78.3,옷을 입자 짠짠 ,정은정 글 ;박해남 그림,비룡소,2009,1~2세,1,더 큰 아이 쪽으로 넓음,False,1414
94,9788962478358,213,0.715,41.3,77.1,"탈것들아, 고마워! ",글·그림: 김현,스콜라,2017,1~3세,1,더 큰 아이 쪽으로 넓음,False,1602
95,9788901220536,211,0.801,41.2,81.2,깔깔 간지럼 놀이 ,글·그림: 기무라 유이치 ;옮김: 김윤정,웅진씽크빅,2017,1~2세,1,더 큰 아이 쪽으로 넓음,False,1053
96,9788955821468,211,0.817,41.2,82.0,뭐하니? ,유문조 글 ;최민오 그림,길벗어린이,2011,1~2세,1,더 큰 아이 쪽으로 넓음,True,902
97,9788955823677,211,0.769,41.2,79.6,채소가 좋아 ,이린하애 글 ;조은영 그림,길벗어린이,2016,1~2세,1,더 큰 아이 쪽으로 넓음,True,1264
98,9788998465711,209,0.81,41.1,81.6,잘했어요 짝짝짝! ,글: 조은수 ;그림: 고우리,한울림어린이,2015,1~2세,1,더 큰 아이 쪽으로 넓음,True,792
99,9788993242317,209,0.494,41.1,65.9,너는 기적이야 ,최숙희 글·그림,책읽는곰,2010,2~5세,2,더 큰 아이 쪽으로 넓음,True,10824
100,9791187287865,208,0.676,41.1,74.9,맛있는 수 놀이 ,글·그림: 안은영,천개의바람,2018,1~3세,1,더 큰 아이 쪽으로 넓음,True,2367
