rank,isbn13,2세_대출,중심도,집중도,점수,제목,저자,출판사,출판년,추천연령,최다선택나이,분포,그림책,총대출
1,9788936446819,1082,0.389,1.432,421.2,수박 수영장 :안녕달 그림책 ,지은이: 안녕달,창비,2015,3~8세,3,더 큰 아이 쪽으로 넓음,True,55125
2,9788993242706,876,0.357,1.195,313.0,장수탕 선녀님 ,지은이: 백희나,책읽는곰,2012,3~8세,4,더 큰 아이 쪽으로 넓음,True,55983
3,9791158360375,845,0.365,1.288,308.7,알사탕 ,백희나,책읽는곰,2017,3~8세,4,더 큰 아이 쪽으로 넓음,True,49004
4,9791158360214,829,0.344,1.272,284.8,이상한 엄마 ,백희나,책읽는곰,2016,3~8세,5,대칭,True,50284
5,9788955822120,769,0.987,3.0,758.5,덤프차가 꽈당! ,오하시 에미코 글 ;이기웅 옮김,길벗어린이,2013,1~3세,2,대칭,True,3426
6,9788936454951,746,0.411,1.432,306.8,할머니의 여름휴가,안녕달,창비,2016,3~9세,3,더 큰 아이 쪽으로 넓음,True,38130
7,9791158360382,691,0.473,1.736,326.5,왜냐면… ,안녕달 글·그림,책읽는곰,2017,3~6세,3,더 큰 아이 쪽으로 넓음,True,27395
8,9788901052922,679,0.951,3.0,645.4,괜찮아,최숙희 지음,웅진씽크빅,2005,1~4세,1,더 큰 아이 쪽으로 넓음,False,7981
9,9791158360061,674,0.453,1.966,305.2,기차가 덜컹덜컹 ,구도 노리코 글·그림 ;윤수정 옮김,책읽는곰,2015,3~6세,3,더 큰 아이 쪽으로 넓음,True,23910
10,9788901121390,650,0.659,2.199,428.7,기분을 말해 봐! ,글·그림: 앤서니 브라운 ;옮김: 홍연미,웅진씽크빅,2011,2~5세,1,더 큰 아이 쪽으로 넓음,False,18168
11,9788958282136,650,0.667,3.0,433.6,두드려 보아요,글·그림: 안나 클라라 티돌름,사계절출판사,2007,1~2세,1,더 큰 아이 쪽으로 넓음,True,2601
12,9788958280798,646,0.998,3.0,644.6,누구 엉덩이? ,글: 김정희 ;그림: 김유대,사계절,2016,1~3세,1,더 큰 아이 쪽으로 넓음,True,7203
13,9788901203652,602,0.924,3.0,556.4,나랑 친구할래? ,글·그림: 최숙희,웅진씽크빅,2015,2~3세,2,더 큰 아이 쪽으로 넓음,False,3443
14,9788997366125,599,0.648,3.0,388.1,알록달록 카멜레온 ,글·그림: 아니타 베이스테르보스 ;옮김: 권미자,키즈엠,2016,2~5세,2,더 큰 아이 쪽으로 넓음,False,9808
15,9791185564951,593,0.418,1.467,247.8,빵 공장이 들썩들썩 ,구도 노리코 글·그림 ;윤수정 옮김,책읽는곰,2015,3~6세,3,더 큰 아이 쪽으로 넓음,True,30744
16,9788936455484,589,0.415,1.391,244.7,당근 유치원 ,지은이: 안녕달,창비,2020,3~7세,4,더 큰 아이 쪽으로 넓음,True,29796
17,9788955823325,588,0.711,3.0,417.7,아가야 밥 먹자 ,여정은 글 ;김태은 그림,길벗어린이,2015,1~2세,1,더 큰 아이 쪽으로 넓음,True,2181
18,9788961704694,583,0.997,3.0,581.2,빠이빠이 기저귀! ,지은이: 레슬리 패트리셀리 ;옮긴이: 마술연필,푸른책들,2015,1~3세,2,대칭,True,1983
19,9791158360641,580,0.549,2.361,318.4,기차를 타요 ,구도 노리코 글·그림 ;윤수정 옮김,책읽는곰,2018,2~5세,3,더 큰 아이 쪽으로 넓음,True,14833
20,9791158360801,580,0.347,1.152,201.2,이상한 손님 ,백희나,책읽는곰,2018,3~8세,4,더 큰 아이 쪽으로 넓음,True,39912
21,9788972590637,579,0.558,1.829,323.4,무지개 물고기,마르쿠스 피스터 글.그림;공경희 옮김,시공사,1994,2~6세,4,대칭,True,21953
22,9788901047904,577,0.731,2.568,421.8,우리 엄마,앤서니 브라운 글·그림;허은미 옮김,웅진씽크빅,2005,2~5세,2,더 큰 아이 쪽으로 넓음,False,12277
23,9788993242980,568,0.309,0.921,175.2,슈퍼 거북 ,유설화 글·그림,책읽는곰,2014,4~9세,5,더 큰 아이 쪽으로 넓음,True,50498
24,9788989863786,566,0.356,1.169,201.4,100층짜리 집 ,글·그림: 이와이 도시오 ;옮김: 김숙,북뱅크,2021,3~7세,5,대칭,False,38144
25,9791190077224,565,0.953,3.0,538.2,출동! 아빠 자동차 ,신혜영 글 ;이명하 그림,천개의바람,2019,1~3세,2,대칭,True,2186
26,9791185564128,561,0.471,1.531,264.2,꿈에서 맛본 똥파리 ,지은이: 백희나,책읽는곰,2014,3~6세,4,대칭,True,26570
27,9788949105048,547,0.56,2.43,306.3,괜찮아 아저씨 ,김경희 글·그림,비룡소,2017,2~5세,3,더 큰 아이 쪽으로 넓음,False,13748
28,9788901033518,546,0.425,1.347,231.8,돼지책,글·그림: 앤서니 브라운;옮긴이: 허은미,웅진씽크빅,2006,3~7세,7,더 어린 아이부터 봄,False,32016
29,9788966350278,542,0.302,0.962,163.5,바다 100층짜리 집 ,글·그림: 이와이 도시오 ;옮김: 김숙,북뱅크,2014,4~8세,5,대칭,False,46190
30,9791158360672,540,0.542,2.41,292.6,버스를 타요 ,구도 노리코 글·그림 ;윤수정 옮김,책읽는곰,2018,2~5세,3,더 큰 아이 쪽으로 넓음,True,13397
31,9788953527058,539,0.481,1.842,259.2,구름빵,글·그림: 백희나;빛그림: 김향수,한솔교육,2006,3~6세,3,더 큰 아이 쪽으로 넓음,False,20651
32,9791158360276,533,0.39,1.224,207.6,꽁꽁꽁 ,윤정주 글·그림,책읽는곰,2016,3~7세,5,대칭,True,33898
33,9788956187372,532,0.421,1.328,224.0,고구마구마 ,지은이: 사이다,반달,2017,3~8세,4,더 큰 아이 쪽으로 넓음,True,28901
34,9788901096391,531,0.947,3.0,502.6,나도 나도 ,글·그림: 최숙희,웅진씽크빅,2009,1~3세,2,대칭,False,2485
35,9791158360245,527,0.344,1.357,181.0,초밥이 빙글빙글 ,구도 노리코 글·그림 ;윤수정 옮김,책읽는곰,2016,3~6세,5,대칭,True,32358
36,9788943306090,523,0.696,2.961,363.9,사과가 쿵!,다다 히로시 지음;정근 옮김,보림출판사,2006,1~2세,1,더 큰 아이 쪽으로 넓음,True,3510
37,9788949105239,522,0.566,2.756,295.4,수상한 신호등 ,더 캐빈 컴퍼니 글·그림 ;송태욱 옮김,비룡소,2020,2~5세,3,대칭,False,9749
38,9791158360511,519,0.416,1.753,216.1,비행기가 부웅부웅 ,구도 노리코 글·그림 ;윤수정 옮김,책읽는곰,2017,3~6세,3,더 큰 아이 쪽으로 넓음,True,22235
39,9788958284482,519,0.332,1.089,172.2,감기 걸린 물고기 :박정섭 그림책 ,글·그림: 박정섭,사계절,2016,3~9세,5,대칭,True,37269
40,9788962478518,515,0.598,2.18,308.0,우리는 언제나 다시 만나 ,윤여림 글 ;안녕달 그림,위즈덤하우스 미디어그룹,2017,2~5세,2,더 큰 아이 쪽으로 넓음,True,15101
41,9788958281320,512,0.735,3.0,375.9,누구 얼굴? ,글: 김정희 ;그림: 김유대,사계절,2016,1~2세,1,더 큰 아이 쪽으로 넓음,True,2399
42,9791158361365,508,0.382,1.29,194.3,나는 개다 ,백희나,책읽는곰,2019,3~7세,4,더 큰 아이 쪽으로 넓음,True,30367
43,9791185564074,508,0.394,1.524,199.9,달 샤베트 ,지은이: 백희나,책읽는곰,2014,3~7세,4,더 큰 아이 쪽으로 넓음,True,25793
44,9788955822892,499,0.624,2.69,311.3,손가락 문어 ,구세 사나에 글·그림 ;이기웅 옮김,길벗어린이,2014,2~5세,2,더 큰 아이 쪽으로 넓음,True,10867
45,9788901118307,498,0.944,3.0,469.7,나는 내가 좋아요 ,글: 윤여림 ;그림: 배현주,웅진씽크빅,2011,2~3세,2,더 큰 아이 쪽으로 넓음,False,2754
46,9791158360658,497,0.483,2.234,240.3,배를 타요 ,구도 노리코 글·그림 ;윤수정 옮김,책읽는곰,2018,2~5세,3,더 큰 아이 쪽으로 넓음,True,14259
47,9788993242447,494,0.568,1.898,280.5,엄마가 화났다 ,최숙희 글·그림,책읽는곰,2011,2~5세,4,대칭,True,17086
48,9788943308056,493,0.702,3.0,346.1,치카 치카 하나 둘 ,글: 최정선 ;그림: 윤봉선,보림출판사,2010,1~2세,1,더 큰 아이 쪽으로 넓음,True,1495
49,9791160943061,490,0.404,1.51,197.7,메리 :안녕달 그림책 ,글·그림: 안녕달,사계절,2017,3~8세,2,더 큰 아이 쪽으로 넓음,True,23467
50,9788964130407,484,0.678,3.0,328.6,"(뽀롱뽀롱 뽀로로) 응가 할 시간이야, 크롱! :생활습관동화책 ",글: 키즈아이콘 편집부 ;그림: 스튜디오게일,아이코닉스 엔터테인먼트,2010,2~4세,2,더 큰 아이 쪽으로 넓음,False,4935
51,9788986621136,477,0.345,1.136,164.4,강아지똥 ,글: 권정생 ;그림: 정승각,길벗어린이,2003,3~8세,7,더 어린 아이부터 봄,True,34957
52,9788970940564,473,0.783,3.0,369.9,달님 안녕 ,글·그린이: 하야시 아키코 ;옮긴이: 이영준,한림출판사,2006,1~3세,1,더 큰 아이 쪽으로 넓음,True,2993
53,9788993242812,473,0.582,2.284,275.1,너는 어떤 씨앗이니? ,최숙희 글·그림,책읽는곰,2013,2~5세,2,더 큰 아이 쪽으로 넓음,True,12876
54,9788993242317,470,0.688,2.399,323.2,너는 기적이야 ,최숙희 글·그림,책읽는곰,2010,2~5세,2,더 큰 아이 쪽으로 넓음,True,10824
55,9788961706117,465,0.95,3.0,441.8,나 혼자 쉬해요! ,캐런 카츠 글·그림 ;마술연필 옮김,푸른책들,2017,2~3세,2,더 큰 아이 쪽으로 넓음,True,1644
56,9788958282792,464,0.984,3.0,456.5,잘잘잘 123 :수 놀이 그림책 ,이억배,사계절출판사,2008,1~3세,2,대칭,True,2304
57,9788943311797,459,0.847,3.0,388.4,머리 감는 책 ,글: 최정선 ;그림: 김동수,보림출판사,2018,1~3세,1,더 큰 아이 쪽으로 넓음,True,1952
58,9788901136684,457,0.893,3.0,407.8,내가 정말? ,최숙희 글·그림,웅진씽크빅,2011,2~3세,2,더 큰 아이 쪽으로 넓음,False,3671
59,9788989863915,456,0.303,0.942,138.3,지하 100층짜리 집 ,글·그림: 이와이 도시오 ;옮긴이: 김숙,북뱅크,2011,4~7세,5,대칭,False,40094
60,9788971968413,456,0.613,2.117,279.5,누가 내 머리에 똥 쌌어? ,베르너 홀츠바르프 글 ;볼프 에를브루흐 그림,사계절출판사,2003,2~5세,3,더 큰 아이 쪽으로 넓음,True,12654
61,9788997366132,451,0.5,2.128,225.3,바닷가로 떠나요! ,글: 엘런 델랑어 ;옮김: 정은미,키즈엠,2022,2~5세,4,대칭,False,13609
62,9788964132180,448,0.607,3.0,272.1,(뽀롱뽀롱 뽀로로) 나도 할 수 있어! 뽀로로 ,"키즈아이콘,아이코닉스 [편]",아이코닉스,2017,2~4세,3,대칭,False,6079
63,9788962478358,447,0.872,3.0,389.5,"탈것들아, 고마워! ",글·그림: 김현,스콜라,2017,1~3세,1,더 큰 아이 쪽으로 넓음,False,1602
64,9791185173184,447,0.638,3.0,284.9,"코~ 자자, 코~ 자 ",김선영 글 ;김현 그림,키위북스,2015,1~2세,1,더 큰 아이 쪽으로 넓음,False,1964
65,9791185173269,441,0.744,3.0,327.8,치카치카 쓱쓱 ,김선영 글 ;이갑규 그림,키위북스(Kiwibooks),2016,1~2세,1,더 큰 아이 쪽으로 넓음,False,1999
66,9788955822939,441,0.86,3.0,379.1,팬티를 입었어요 ,히로카와 사에코 글·그림 ;이기웅 옮김,길벗어린이,2014,2~3세,2,더 큰 아이 쪽으로 넓음,True,1907
67,9788901113241,438,0.515,1.673,225.7,(앤서니 브라운의) 마술 연필 ,글·그림: 앤서니 브라운 ;옮김: 서애경,웅진씽크빅,2010,2~5세,4,대칭,False,17645
68,9788955823295,435,0.474,1.769,206.0,엄마가 정말 좋아요 ,미야니시 다쓰야 글·그림 ;이기웅 옮김,길벗어린이,2015,3~6세,3,더 큰 아이 쪽으로 넓음,True,16919
69,9788994077765,432,0.991,3.0,428.1,다 함께 응가해요 ,지은이: 후쿠다 이와오 ;옮긴이: 김지연,책과콩나무,2014,1~3세,2,대칭,True,1387
70,9791187287865,432,0.999,3.0,431.1,맛있는 수 놀이 ,글·그림: 안은영,천개의바람,2018,1~3세,1,더 큰 아이 쪽으로 넓음,True,2367
71,9788967491833,431,0.731,2.942,315.1,미용실에 간 사자 ,글·그림: 브리타 테큰트럽 ;옮김: 이선오,키즈엠,2014,2~5세,2,더 큰 아이 쪽으로 넓음,False,6889
72,9788927191049,430,0.972,3.0,417.8,"톡톡톡, 괜찮아? ",글·그림: 시모카와라 유미 ;옮김: 조은숙,그레이트 Books(그레이트북스),[201,1~3세,2,대칭,False,1700
