rank,isbn13,13세_대출,중심도,집중도,점수,제목,저자,출판사,출판년,추천연령,최다선택나이,분포,그림책,총대출
49,9788957981023,1494,0.369,3.0,551.4,너도 하늘말나리야:이금이 장편동화,이금이 지음;송진헌 그림,푸른책들,2007,12~13세,12,더 큰 아이 쪽으로 넓음,False,8204
50,9788949195865,1484,0.26,3.0,386.0,스무고개 탐정 :시즌Ⅱ,허교범 글 ;고상미 그림,비룡소,,10~13세,12,더 어린 아이부터 봄,False,16571
51,9788993900880,1465,0.238,3.0,348.9,암호클럽,글: 페니 워너 ;윤영,가람어린이,2016,10~12세,12,더 어린 아이부터 봄,False,18426
52,9791155096116,1463,0.312,3.0,457.1,레몬첼로 도서관 탈출 게임 ,글: 크리스 그라번스타인 ;옮김: 정회성,이퍼블릭,2016,11~13세,13,더 어린 아이부터 봄,False,12474
53,9788993055122,1437,0.202,2.625,290.2,윔피 키드,"글, 그림: 제프 키니 ;양진성",푸른날개,,10~12세,12,더 어린 아이부터 봄,False,24107
54,9788936443160,1432,0.2,2.604,286.8,푸른 사자 와니니 :이현 장편동화 ,지은이: 이현 ;그린이: 오윤화,창비,2015,10~12세,12,더 어린 아이부터 봄,False,22565
55,9788957982570,1426,0.769,3.0,1096.0,소희의 방 ,이금이 지음,푸른책들,2010,13세,13,더 어린 아이부터 봄,False,2158
56,9788943305840,1423,0.641,3.0,911.8,책만 보는 바보:이덕무와 그의 벗들 이야기,안소영 지음;강남미 그림,보림출판사,2005,12~13세,13,더 어린 아이부터 봄,False,3068
57,9788936442934,1410,0.206,2.674,290.0,담임 선생님은 AI :이경화 장편동화 ,지은이: 이경화 ;그린이: 국민지,창비,2018,10~12세,12,더 어린 아이부터 봄,False,20394
58,9788960243873,1401,0.206,2.683,289.1,(빈대 가족의) 절약 영재 발굴단 ,글: 임창호 ;그림: 류수형,재미북스,2016,10~12세,13,더 어린 아이부터 봄,True,23357
59,9788960243811,1398,0.201,2.609,280.6,(빈대가족의) 응답하라 짠돌이 시대 ,글: 스토리박스 ;그림: 류수형,재미북스,2016,10~12세,13,더 어린 아이부터 봄,True,23815
60,9788936442996,1374,0.263,3.0,361.0,불량한 자전거 여행 :김남중 장편동화,지은이: 김남중 ;오승민,창비,2019,11~13세,12,대칭,False,12524
