rank,isbn13,11세_대출,적합도,인기점수(50),추천도(100),제목,저자,출판사,출판년,추천연령,최다선택나이,분포,그림책,총대출
1,9788954607346,15891,0.941,50.0,97.0,책과 노니는 집 ,이영서 글 ;김동성 그림,문학동네,2009,11~12세,11,더 큰 아이 쪽으로 넓음,False,35054
2,9788949121338,12245,0.976,47.9,96.7,빨강 연필 :신수현 장편동화 ,글쓴이: 신수현 ;그린이: 김성희,비룡소,2011,10~12세,11,더 큰 아이 쪽으로 넓음,False,31402
3,9788997798131,11427,0.97,47.4,95.9,악플 전쟁 :이규희 장편동화 ,지은이: 이규희 ;그린이: 한수진,별숲,2013,11~12세,11,더 큰 아이 쪽으로 넓음,False,28458
4,9788980408337,9691,0.948,46.1,93.5,수일이와 수일이,김우경 지음;권사우 그림,우리교육,2001,11~12세,11,더 큰 아이 쪽으로 넓음,False,16412
5,9788954620260,9055,0.915,45.5,91.3,시간 가게 ,이나영 글 ;윤정주 그림,문학동네,2013,10~12세,12,더 어린 아이부터 봄,False,30689
6,9788936442804,8885,0.987,45.4,94.7,푸른 사자 와니니 :이현 장편동화 ,지은이: 이현 ;그린이: 오윤화,창비,2015,10~12세,12,더 어린 아이부터 봄,False,39329
7,9791196025809,8758,0.829,45.3,86.7,설민석의 한국사 대모험,"글: 설민석,그림: 정현희",휴먼큐브,2017,9~12세,11,더 어린 아이부터 봄,False,60137
8,9791196232160,8652,0.864,45.2,88.3,설민석의 한국사 대모험,"글: 설민석,그림: 정현희",휴먼큐브,2017,9~12세,11,더 어린 아이부터 봄,False,54761
9,9788934933700,8465,0.771,45.0,83.5,잘못 뽑은 반장 ,이은재 글 ;서영경 그림,김영사,2009,10~12세,10,더 큰 아이 쪽으로 넓음,False,40250
10,9791196025847,8465,0.842,45.0,87.1,설민석의 한국사 대모험,"글: 설민석,그림: 정현희",휴먼큐브,2017,9~12세,11,더 어린 아이부터 봄,False,56884
11,9791195794799,8461,0.787,45.0,84.3,설민석의 한국사 대모험,"글: 설민석,그림: 정현희",휴먼큐브,2017,8~11세,9,더 큰 아이 쪽으로 넓음,False,63000
