rank,isbn13,11세_대출,중심도,집중도,점수,제목,저자,출판사,출판년,추천연령,최다선택나이,분포,그림책,총대출
1,9788954607346,15891,0.885,3.0,14069.5,책과 노니는 집 ,이영서 글 ;김동성 그림,문학동네,2009,11~12세,11,더 큰 아이 쪽으로 넓음,False,35054
2,9788949121338,12245,0.953,3.0,11673.0,빨강 연필 :신수현 장편동화 ,글쓴이: 신수현 ;그린이: 김성희,비룡소,2011,10~12세,11,더 큰 아이 쪽으로 넓음,False,31402
3,9788997798131,11427,0.941,3.0,10755.7,악플 전쟁 :이규희 장편동화 ,지은이: 이규희 ;그린이: 한수진,별숲,2013,11~12세,11,더 큰 아이 쪽으로 넓음,False,28458
4,9788936442804,8885,0.995,2.869,8837.2,푸른 사자 와니니 :이현 장편동화 ,지은이: 이현 ;그린이: 오윤화,창비,2015,10~12세,12,더 어린 아이부터 봄,False,39329
5,9788980408337,9691,0.899,3.0,8708.2,수일이와 수일이,김우경 지음;권사우 그림,우리교육,2001,11~12세,11,더 큰 아이 쪽으로 넓음,False,16412
6,9788963191577,8154,0.999,2.817,8142.0,수상한 학원 ,박현숙 글 ;장서영 그림,북멘토,2016,10~12세,12,더 어린 아이부터 봄,False,36923
7,9788954620260,9055,0.884,3.0,8006.2,시간 가게 ,이나영 글 ;윤정주 그림,문학동네,2013,10~12세,12,더 어린 아이부터 봄,False,30689
8,9788971968710,8407,0.944,3.0,7932.6,마당을 나온 암탉 ,황선미 지음 ;김환영 그림,사계절출판사,2000,10~12세,11,더 큰 아이 쪽으로 넓음,False,26145
9,9788963191010,7560,0.98,2.718,7408.9,수상한 아파트 ,박현숙 글 ;장서영 그림,북멘토,2014,10~12세,12,더 어린 아이부터 봄,False,36351
10,9788937839719,7331,0.993,2.332,7280.1,내일은 실험왕 :본격 대결 과학실험 만화,"글: 곰돌이 co. ,그림: 홍종현",미래엔,2011,10~12세,13,더 어린 아이부터 봄,True,41007
11,9788949197814,7246,1.0,2.583,7244.9,건방이의 건방진 수련기 ,천효정 글 ;강경수 그림,비룡소,2014,10~12세,12,더 어린 아이부터 봄,False,35822
12,9788936442927,7291,0.993,2.957,7243.2,도깨비폰을 개통하시겠습니까? :박하익 장편동화 ,지은이: 박하익 ;그린이: 손지희,창비,2018,10~12세,12,더 어린 아이부터 봄,False,30908
13,9788937839726,7142,0.997,2.415,7122.6,내일은 실험왕 :본격 대결 과학실험 만화,"글: 곰돌이 co. ,그림: 홍종현",미래엔,2011,10~12세,13,더 어린 아이부터 봄,True,38423
14,9788937838330,7060,0.998,2.513,7046.4,내일은 실험왕 :본격 대결 과학실험 만화,"글: 곰돌이 co. ,그림: 홍종현",미래엔,2011,10~12세,13,더 어린 아이부터 봄,True,36246
15,9788936443054,7218,0.975,3.0,7040.0,푸른 사자 와니니 :이현 장편동화 ,지은이: 이현 ;그린이: 오윤화,창비,2015,10~12세,12,더 어린 아이부터 봄,False,29120
16,9788954677158,7123,0.97,2.679,6907.6,긴긴밤 ,루리 글·그림,문학동네,2021,10~12세,13,더 어린 아이부터 봄,False,32334
17,9788954674638,7793,0.885,2.977,6894.3,5번 레인 ,은소홀 글 ;노인경 그림,문학동네,2020,10~12세,12,더 어린 아이부터 봄,False,29620
18,9788937899232,6882,0.961,2.358,6610.7,내일은 발명왕 :본격 대결 과학발명 만화,글: 곰돌이 co. ;그림: 홍종현,Mirae N 아이세움,2011,9~12세,13,더 어린 아이부터 봄,True,39138
19,9788949195193,6796,0.968,2.779,6578.4,스무고개 탐정과 마술사 ,허교범 글 ;고상미 그림,비룡소,2013,10~12세,12,더 어린 아이부터 봄,False,29616
20,9788949197821,6632,0.99,2.58,6568.2,건방이의 건방진 수련기,천효정 글 ;강경수 그림,비룡소,,10~12세,12,더 어린 아이부터 봄,False,31937
21,9788949197838,6665,0.982,2.644,6546.7,건방이의 건방진 수련기,천효정 글 ;강경수 그림,비룡소,,10~12세,12,더 어린 아이부터 봄,False,30884
22,9788934933700,8465,0.769,2.895,6506.3,잘못 뽑은 반장 ,이은재 글 ;서영경 그림,김영사,2009,10~12세,10,더 큰 아이 쪽으로 넓음,False,40250
23,9788963192642,6664,0.975,2.721,6499.7,수상한 편의점 ,박현숙 글 ;장서영 그림,북멘토,2018,10~12세,11,대칭,False,32023
24,9788963192390,6537,0.987,2.747,6455.0,수상한 식당 ,글쓴이: 박현숙 ;그린이: 장서영,북멘토,2017,10~12세,12,더 어린 아이부터 봄,False,30852
25,9788937837784,6668,0.968,2.497,6454.9,윔피 키드,제프 키니 글·그림 ;신인수 옮김,미래엔,2016,10~12세,13,더 어린 아이부터 봄,False,32295
26,9791196232160,8652,0.746,2.36,6453.4,설민석의 한국사 대모험,"글: 설민석,그림: 정현희",휴먼큐브,2017,9~12세,11,더 어린 아이부터 봄,False,54761
27,9788963191935,6476,0.991,2.695,6416.0,수상한 친구 집 ,박현숙 글 ;장서영 그림,북멘토,2016,10~12세,12,더 어린 아이부터 봄,False,31045
28,9788937899256,6509,0.982,2.344,6391.2,내일은 발명왕 :본격 대결 과학발명 만화,글: 곰돌이 co. ;그림: 홍종현,Mirae N 아이세움,2011,9~12세,13,더 어린 아이부터 봄,True,36872
29,9788963191256,6455,0.989,2.651,6386.3,수상한 우리 반 ,박현숙 글 ;장서영 그림,북멘토,2015,10~12세,12,더 어린 아이부터 봄,False,31582
30,9788936442712,6403,0.989,3.0,6332.8,기호 3번 안석뽕 :진형민 장편동화 ,지은이: 진형민 ;그린이: 한지선,창비,2013,10~12세,11,대칭,False,21892
31,9788949124353,6514,0.966,2.789,6292.5,복제인간 윤봉구 ,임은하 글 ;정용환 그림,비룡소,2017,10~12세,12,더 어린 아이부터 봄,False,28298
32,9788957983317,7810,0.79,3.0,6170.7,5학년 5반 아이들 ,윤숙희 지음,푸른책들,2013,11~12세,11,더 큰 아이 쪽으로 넓음,False,10088
33,9788949121697,7051,0.874,3.0,6159.3,맞아 언니 상담소 ,김혜정 글 ;김민준 그림,비룡소,2016,11~12세,12,더 어린 아이부터 봄,False,22734
34,9788937837531,6296,0.978,2.342,6157.1,내일은 발명왕 :본격 대결 과학발명 만화,글: 곰돌이 co. ;그림: 홍종현,Mirae N 아이세움,2011,9~12세,13,더 어린 아이부터 봄,True,35583
35,9791196025809,8758,0.688,2.225,6025.7,설민석의 한국사 대모험,"글: 설민석,그림: 정현희",휴먼큐브,2017,9~12세,11,더 어린 아이부터 봄,False,60137
36,9788949121819,6075,0.992,2.781,6025.0,바꿔! ,박상기 글 ;오영은 그림,비룡소,2018,10~12세,12,더 어린 아이부터 봄,False,27247
37,9791196025847,8465,0.709,2.26,6000.4,설민석의 한국사 대모험,"글: 설민석,그림: 정현희",휴먼큐브,2017,9~12세,11,더 어린 아이부터 봄,False,56884
38,9788993900873,6495,0.92,2.718,5972.9,암호클럽,글: 페니 워너 ;윤영,가람어린이,2016,10~12세,12,더 어린 아이부터 봄,False,27548
39,9788949195780,6111,0.974,2.574,5952.8,건방이의 건방진 수련기,천효정 글 ;강경수 그림,비룡소,,10~12세,12,더 어린 아이부터 봄,False,28686
40,9788937847004,6095,0.965,2.504,5883.5,윔피 키드,제프 키니 글·그림 ;신인수 옮김,미래엔,2016,10~12세,13,더 어린 아이부터 봄,False,29228
41,9791188874262,7609,0.773,2.377,5880.8,설민석의 한국사 대모험,"글: 설민석,그림: 정현희",휴먼큐브,2017,9~12세,11,더 어린 아이부터 봄,False,47296
42,9788936443177,6716,0.873,3.0,5862.6,마지막 레벨 업 :윤영주 장편동화 ,지은이: 윤영주 ;그린이: 안성호,창비,2021,11~12세,12,더 어린 아이부터 봄,False,21383
43,9788963192956,6113,0.947,2.732,5791.5,수상한 도서관 ,박현숙 글 ;장서영 그림,북멘토,2019,10~12세,11,대칭,False,29726
44,9788936442798,5699,0.998,3.0,5688.4,"소리 질러, 운동장 :진형민 장편동화 ",지은이: 진형민 ;그린이: 이한솔,창비,2015,10~12세,11,대칭,False,20243
45,9791188874149,7541,0.754,2.358,5686.3,설민석의 한국사 대모험,"글: 설민석,그림: 정현희",휴먼큐브,2017,9~12세,11,더 어린 아이부터 봄,False,47558
46,9791162331088,5674,0.999,2.358,5668.7,내일은 실험왕 41 - 해양의 대결,"스토리 a. (지은이), 홍종현 (그림), 박완규, 이창덕 (감수)",아이세움,2017,10~12세,13,더 어린 아이부터 봄,True,31286
47,9788987721866,5660,0.993,3.0,5621.7,길모퉁이 행운돼지,김종렬 글;김숙경 그림,다림,2006,10~12세,11,대칭,False,13312
48,9788936443160,5864,0.952,3.0,5581.4,푸른 사자 와니니 :이현 장편동화 ,지은이: 이현 ;그린이: 오윤화,창비,2015,10~12세,12,더 어린 아이부터 봄,False,22565
49,9791196025861,8198,0.68,2.2,5576.2,설민석의 한국사 대모험,"글: 설민석,그림: 정현희",휴먼큐브,2017,9~12세,9,더 큰 아이 쪽으로 넓음,False,57597
50,9788952709530,5781,0.959,2.971,5543.2,샬롯의 거미줄,엘윈 브룩스 화이트 글;김화곤 옮김,시공사,2001,10~12세,12,더 어린 아이부터 봄,False,23329
51,9788965590972,5721,0.969,2.496,5541.4,윔피 키드,"글, 그림: 제프 키니 ;양진성",푸른날개,,10~12세,13,더 어린 아이부터 봄,False,27723
52,9788934993315,6297,0.879,3.0,5537.4,또 잘못 뽑은 반장 ,이은재 글 ;신민재 그림,김영사,2014,10~12세,10,더 큰 아이 쪽으로 넓음,False,26783
53,9791188874293,7037,0.785,2.296,5526.4,설민석의 한국사 대모험,"글: 설민석,그림: 정현희",휴먼큐브,2017,9~12세,11,더 어린 아이부터 봄,False,45123
54,9791195794799,8461,0.642,2.11,5433.0,설민석의 한국사 대모험,"글: 설민석,그림: 정현희",휴먼큐브,2017,8~11세,9,더 큰 아이 쪽으로 넓음,False,63000
55,9788936442293,6317,0.847,3.0,5350.6,초정리 편지:배유안 장편동화,배유안 [지음];홍선주 그림,창비,2006,11~13세,13,더 어린 아이부터 봄,False,19421
56,9791162331101,5528,0.968,2.566,5348.9,윔피 키드,제프 키니 글·그림 ;신인수 옮김,미래엔,2016,10~12세,13,더 어린 아이부터 봄,False,26011
57,9788936442934,6019,0.884,3.0,5323.4,담임 선생님은 AI :이경화 장편동화 ,지은이: 이경화 ;그린이: 국민지,창비,2018,10~12세,12,더 어린 아이부터 봄,False,20394
58,9788949121857,5365,0.988,3.0,5300.7,담을 넘은 아이 ,김정민 글 ;이영환 그림,비룡소,2019,10~12세,11,대칭,False,19493
59,9788993055207,5261,0.996,2.475,5241.8,윔피 키드,"글, 그림: 제프 키니 ;양진성",푸른날개,,10~12세,13,더 어린 아이부터 봄,False,27028
60,9791164062072,6024,0.859,2.302,5176.6,(이상한 과자 가게) 전천당,히로시마 레이코 글 ;김정화 옮김,길벗스쿨,2019,9~12세,11,대칭,False,37335
61,9791164060948,6205,0.833,2.295,5171.6,(이상한 과자 가게) 전천당,히로시마 레이코 글 ;김정화 옮김,길벗스쿨,2019,9~12세,11,더 어린 아이부터 봄,False,39350
62,9788991221444,5341,0.968,3.0,5170.1,한국사 편지 :12살부터 읽는 책과 함께 역사편지 ,글: 박은봉 ;박지훈,책과함께,2009,10~12세,11,대칭,False,15079
63,9788957981924,6888,0.742,3.0,5112.1,날 좀 내버려 둬 :제7회 푸른문학상 동화집 ,지은이: 양인자 외,푸른책들,2009,11~12세,11,더 큰 아이 쪽으로 넓음,False,9450
64,9791164062065,6017,0.849,2.274,5108.6,(이상한 과자 가게) 전천당,히로시마 레이코 글 ;김정화 옮김,길벗스쿨,2019,9~12세,10,더 큰 아이 쪽으로 넓음,False,38033
65,9791165382650,6117,0.822,2.402,5031.1,설민석의 한국사 대모험,"글: 설민석,그림: 정현희",휴먼큐브,2017,9~12세,11,더 어린 아이부터 봄,False,37153
