rank,isbn13,3세_대출,적합도,인기점수(50),추천도(100),제목,저자,출판사,출판년,추천연령,최다선택나이,분포,그림책,총대출
1,9788936446819,2340,0.81,50.0,90.5,수박 수영장 :안녕달 그림책 ,지은이: 안녕달,창비,2015,3~8세,3,더 큰 아이 쪽으로 넓음,True,55125
2,9788993242706,2225,0.764,49.4,87.6,장수탕 선녀님 ,지은이: 백희나,책읽는곰,2012,3~8세,4,더 큰 아이 쪽으로 넓음,True,55983
3,9791158360375,1970,0.78,48.0,87.0,알사탕 ,백희나,책읽는곰,2017,3~8세,4,더 큰 아이 쪽으로 넓음,True,49004
4,9791158360214,1828,0.738,47.2,84.0,이상한 엄마 ,백희나,책읽는곰,2016,3~8세,5,대칭,True,50284
5,9791158360061,1678,0.9,46.2,91.2,기차가 덜컹덜컹 ,구도 노리코 글·그림 ;윤수정 옮김,책읽는곰,2015,3~6세,3,더 큰 아이 쪽으로 넓음,True,23910
6,9791185564951,1677,0.85,46.2,88.7,빵 공장이 들썩들썩 ,구도 노리코 글·그림 ;윤수정 옮김,책읽는곰,2015,3~6세,3,더 큰 아이 쪽으로 넓음,True,30744
7,9791158360382,1562,0.881,45.4,89.4,왜냐면… ,안녕달 글·그림,책읽는곰,2017,3~6세,3,더 큰 아이 쪽으로 넓음,True,27395
8,9791158360801,1512,0.736,45.0,81.8,이상한 손님 ,백희나,책읽는곰,2018,3~8세,4,더 큰 아이 쪽으로 넓음,True,39912
9,9788936454951,1498,0.816,44.9,85.7,할머니의 여름휴가,안녕달,창비,2016,3~9세,3,더 큰 아이 쪽으로 넓음,True,38130
10,9788966350278,1456,0.601,44.6,74.6,바다 100층짜리 집 ,글·그림: 이와이 도시오 ;옮김: 김숙,북뱅크,2014,4~8세,5,대칭,False,46190
11,9791158360276,1435,0.765,44.4,82.6,꽁꽁꽁 ,윤정주 글·그림,책읽는곰,2016,3~7세,5,대칭,True,33898
12,9788936455484,1433,0.826,44.4,85.7,당근 유치원 ,지은이: 안녕달,창비,2020,3~7세,4,더 큰 아이 쪽으로 넓음,True,29796
13,9788989863786,1406,0.672,44.2,77.8,100층짜리 집 ,글·그림: 이와이 도시오 ;옮김: 김숙,북뱅크,2021,3~7세,5,대칭,False,38144
14,9791158360986,1398,0.819,44.1,85.0,아이스크림이 꽁꽁 ,구도 노리코 글·그림 ;윤수정 옮김,책읽는곰,2018,3~6세,3,더 큰 아이 쪽으로 넓음,True,27686
15,9791158360245,1388,0.745,44.0,81.2,초밥이 빙글빙글 ,구도 노리코 글·그림 ;윤수정 옮김,책읽는곰,2016,3~6세,5,대칭,True,32358
16,9788993242980,1386,0.621,44.0,75.1,슈퍼 거북 ,유설화 글·그림,책읽는곰,2014,4~9세,5,더 큰 아이 쪽으로 넓음,True,50498
17,9791158360641,1359,0.956,43.8,91.6,기차를 타요 ,구도 노리코 글·그림 ;윤수정 옮김,책읽는곰,2018,2~5세,3,더 큰 아이 쪽으로 넓음,True,14833
18,9791158360511,1336,0.87,43.6,87.0,비행기가 부웅부웅 ,구도 노리코 글·그림 ;윤수정 옮김,책읽는곰,2017,3~6세,3,더 큰 아이 쪽으로 넓음,True,22235
19,9791185564128,1308,0.843,43.3,85.5,꿈에서 맛본 똥파리 ,지은이: 백희나,책읽는곰,2014,3~6세,4,대칭,True,26570
20,9788953527058,1307,0.899,43.3,88.3,구름빵,글·그림: 백희나;빛그림: 김향수,한솔교육,2006,3~6세,3,더 큰 아이 쪽으로 넓음,False,20651
21,9788901121390,1294,0.96,43.2,91.2,기분을 말해 봐! ,글·그림: 앤서니 브라운 ;옮김: 홍연미,웅진씽크빅,2011,2~5세,1,더 큰 아이 쪽으로 넓음,False,18168
22,9791158360672,1272,0.957,43.0,90.9,버스를 타요 ,구도 노리코 글·그림 ;윤수정 옮김,책읽는곰,2018,2~5세,3,더 큰 아이 쪽으로 넓음,True,13397
23,9791158360665,1266,0.937,42.9,89.8,비행기를 타요 ,구도 노리코 글·그림 ;윤수정 옮김,책읽는곰,2018,2~5세,3,더 큰 아이 쪽으로 넓음,True,14250
24,9788972590637,1250,0.884,42.8,87.0,무지개 물고기,마르쿠스 피스터 글.그림;공경희 옮김,시공사,1994,2~6세,4,대칭,True,21953
25,9791158360658,1234,0.932,42.7,89.2,배를 타요 ,구도 노리코 글·그림 ;윤수정 옮김,책읽는곰,2018,2~5세,3,더 큰 아이 쪽으로 넓음,True,14259
26,9791158361365,1223,0.762,42.6,80.6,나는 개다 ,백희나,책읽는곰,2019,3~7세,4,더 큰 아이 쪽으로 넓음,True,30367
27,9788989863915,1221,0.578,42.5,71.4,지하 100층짜리 집 ,글·그림: 이와이 도시오 ;옮긴이: 김숙,북뱅크,2011,4~7세,5,대칭,False,40094
28,9788949105239,1207,0.98,42.4,91.4,수상한 신호등 ,더 캐빈 컴퍼니 글·그림 ;송태욱 옮김,비룡소,2020,2~5세,3,대칭,False,9749
29,9788958284482,1182,0.674,42.2,75.9,감기 걸린 물고기 :박정섭 그림책 ,글·그림: 박정섭,사계절,2016,3~9세,5,대칭,True,37269
30,9788901033518,1165,0.78,42.0,81.0,돼지책,글·그림: 앤서니 브라운;옮긴이: 허은미,웅진씽크빅,2006,3~7세,7,더 어린 아이부터 봄,False,32016
31,9788956187372,1164,0.773,42.0,80.7,고구마구마 ,지은이: 사이다,반달,2017,3~8세,4,더 큰 아이 쪽으로 넓음,True,28901
32,9788997366125,1128,0.965,41.6,89.9,알록달록 카멜레온 ,글·그림: 아니타 베이스테르보스 ;옮김: 권미자,키즈엠,2016,2~5세,2,더 큰 아이 쪽으로 넓음,False,9808
33,9788949105048,1106,0.953,41.4,89.1,괜찮아 아저씨 ,김경희 글·그림,비룡소,2017,2~5세,3,더 큰 아이 쪽으로 넓음,False,13748
34,9788993242447,1102,0.928,41.4,87.8,엄마가 화났다 ,최숙희 글·그림,책읽는곰,2011,2~5세,4,대칭,True,17086
35,9791185564074,1067,0.763,41.0,79.2,달 샤베트 ,지은이: 백희나,책읽는곰,2014,3~7세,4,더 큰 아이 쪽으로 넓음,True,25793
36,9788901113241,1047,0.828,40.8,82.2,(앤서니 브라운의) 마술 연필 ,글·그림: 앤서니 브라운 ;옮김: 서애경,웅진씽크빅,2010,2~5세,4,대칭,False,17645
37,9788949105024,1035,0.977,40.6,89.5,하나 둘 셋 공룡 ,마이크 브라운로우 글 ;노은정 옮김,비룡소,2018,2~5세,3,대칭,False,7271
38,9788901154336,1032,0.825,40.6,81.9,도토리 마을의 경찰관 ,글·그림: 나카야 미와 ;옮김: 김난주,웅진씽크빅,2013,3~6세,4,대칭,False,19397
39,9788964963678,1022,0.608,40.5,70.9,오싹오싹 팬티! ,글: 에런 레이놀즈 ;옮김: 홍연미,토토북,2018,4~8세,5,대칭,True,31114
40,9791158361884,1021,0.78,40.5,79.5,카레가 보글보글 ,구도 노리코 글·그림 ;윤수정 옮김,책읽는곰,2020,3~6세,5,대칭,True,21756
41,9788986621136,1021,0.637,40.5,72.3,강아지똥 ,글: 권정생 ;그림: 정승각,길벗어린이,2003,3~8세,7,더 어린 아이부터 봄,True,34957
42,9788901165806,1011,0.79,40.4,79.9,도토리 마을의 유치원 ,글·그림: 나카야 미와 ;옮김: 김난주,웅진주니어,2014,3~6세,4,대칭,False,19601
43,9788990364661,1010,0.866,40.4,83.6,고 녀석 맛있겠다,미야니시 타츠야 글그림;백승인 옮김,달리,2004,3~6세,4,대칭,False,16674
44,9788955823295,1007,0.886,40.3,84.6,엄마가 정말 좋아요 ,미야니시 다쓰야 글·그림 ;이기웅 옮김,길벗어린이,2015,3~6세,3,더 큰 아이 쪽으로 넓음,True,16919
45,9788966350759,1005,0.535,40.3,67.0,하늘 100층짜리 집 ,글·그림: 이와이 도시오 ;옮김: 김숙,북뱅크,2017,4~8세,5,더 큰 아이 쪽으로 넓음,False,37318
46,9791158361440,997,0.761,40.2,78.3,오싹오싹 도깨비 숲 ,구도 노리코 글·그림 ;윤수정 옮김,책읽는곰,2019,3~6세,5,대칭,True,21526
47,9788971968413,994,0.957,40.2,88.0,누가 내 머리에 똥 쌌어? ,베르너 홀츠바르프 글 ;볼프 에를브루흐 그림,사계절출판사,2003,2~5세,3,더 큰 아이 쪽으로 넓음,True,12654
48,9788949105093,984,0.999,40.1,90.0,내 친구 브로리 ,이사랏 지음,비룡소,2018,2~4세,3,대칭,False,6163
49,9788901047904,981,0.917,40.0,85.9,우리 엄마,앤서니 브라운 글·그림;허은미 옮김,웅진씽크빅,2005,2~5세,2,더 큰 아이 쪽으로 넓음,False,12277
50,9788962478518,980,0.925,40.0,86.2,우리는 언제나 다시 만나 ,윤여림 글 ;안녕달 그림,위즈덤하우스 미디어그룹,2017,2~5세,2,더 큰 아이 쪽으로 넓음,True,15101
51,9788953581166,979,0.887,40.0,84.3,구름빵 : 키 크는 빵 주세요,GIMC|DPS,한솔수북,2011,3~6세,3,더 큰 아이 쪽으로 넓음,False,14499
52,9791160943061,970,0.814,39.9,80.6,메리 :안녕달 그림책 ,글·그림: 안녕달,사계절,2017,3~8세,2,더 큰 아이 쪽으로 넓음,True,23467
53,9791158362515,964,0.824,39.8,81.0,케이크가 커졌어요! ,구도 노리코 글·그림 ;윤수정 옮김,책읽는곰,2021,3~6세,5,더 어린 아이부터 봄,True,19103
54,9788901205427,951,0.793,39.7,79.3,도토리 마을의 서점 ,글·그림: 나카야 미와 ;옮김: 김난주,웅진주니어,2015,3~6세,5,더 어린 아이부터 봄,False,19958
55,9788955823240,944,0.772,39.6,78.2,아빠는 회사에서 내 생각 해? ,김영진 글·그림,길벗어린이,2015,3~7세,4,더 큰 아이 쪽으로 넓음,True,23378
56,9788964133132,940,0.984,39.5,88.8,크롱의 소원,아이코닉스 출판팀,아이코닉스,2018,2~4세,3,대칭,False,5804
57,9788997366132,934,0.893,39.5,84.1,바닷가로 떠나요! ,글: 엘런 델랑어 ;옮김: 정은미,키즈엠,2022,2~5세,4,대칭,False,13609
58,9788993242720,929,0.854,39.4,82.1,모르는 척 공주 ,최숙희 글·그림,책읽는곰,2012,2~6세,4,대칭,True,17550
59,9788964132142,927,0.983,39.4,88.5,뽀로로와 요리사 로봇 - 우정,키즈아이콘 편집부 (지은이),키즈아이콘(아이코닉스),2013,2~4세,3,대칭,False,6172
60,9788952764270,924,0.899,39.3,84.3,"무지개 물고기야, 엄마가 지켜 줄게 ",마르쿠스 피스터 그림·글 ;김영진 옮김,시공사,2012,2~5세,4,대칭,True,13330
61,9788964132180,923,0.997,39.3,89.2,(뽀롱뽀롱 뽀로로) 나도 할 수 있어! 뽀로로 ,"키즈아이콘,아이코닉스 [편]",아이코닉스,2017,2~4세,3,대칭,False,6079
62,9791158361839,921,0.652,39.3,71.9,슈퍼 토끼 :유설화 그림책 ,유설화 글·그림,책읽는곰,2020,3~7세,5,대칭,True,28872
63,9788927186922,915,0.954,39.2,86.9,아주 특별한 목욕탕,인현진 글;조미자 그림,,2016,2~5세,3,더 큰 아이 쪽으로 넓음,False,6878
