rank,isbn13,9세_대출,적합도,인기점수(50),추천도(100),제목,저자,출판사,출판년,추천연령,최다선택나이,분포,그림책,총대출
1,9788928302802,15034,0.981,50.0,99.0,"아드님, 진지 드세요 ",강민경 글 ;이영림 그림,좋은책신사고 좋은책어린이,2011,8~11세,9,대칭,False,38797
2,9788949161341,14366,0.999,49.8,99.7,만복이네 떡집 ,김리리 글 ;이승현 그림,비룡소,2010,7~11세,9,대칭,False,47100
3,9791164134267,12476,0.936,49.0,95.8,흔한남매,원작: 흔한남매 ;그림: 유난희,미래엔,2019,8~11세,9,더 큰 아이 쪽으로 넓음,True,63787
4,9791164132454,11849,0.947,48.8,96.1,흔한남매,원작: 흔한남매 ;그림: 유난희,미래엔,2019,8~11세,9,더 큰 아이 쪽으로 넓음,True,62069
5,9791164131686,11829,0.961,48.8,96.8,흔한남매,원작: 흔한남매 ;그림: 유난희,미래엔,2019,8~11세,9,더 큰 아이 쪽으로 넓음,True,63485
6,9791164135592,11803,0.931,48.7,95.3,흔한남매,원작: 흔한남매 ;그림: 유난희,미래엔,2019,8~11세,9,더 큰 아이 쪽으로 넓음,True,60537
7,9791164134847,11772,0.928,48.7,95.1,흔한남매,원작: 흔한남매 ;그림: 유난희,미래엔,2019,8~11세,9,더 큰 아이 쪽으로 넓음,True,60477
8,9788971968345,11715,0.773,48.7,87.4,프린들 주세요,앤드루 클레먼츠 지음;양혜원 그림,사계절출판사,2001,9~13세,9,더 큰 아이 쪽으로 넓음,False,32278
9,9791195794799,11645,0.918,48.7,94.6,설민석의 한국사 대모험,"글: 설민석,그림: 정현희",휴먼큐브,2017,8~11세,9,더 큰 아이 쪽으로 넓음,False,63000
10,9791196025809,11509,0.886,48.6,92.9,설민석의 한국사 대모험,"글: 설민석,그림: 정현희",휴먼큐브,2017,9~12세,11,더 어린 아이부터 봄,False,60137
11,9791164136261,11444,0.921,48.6,94.6,흔한남매,원작: 흔한남매 ;그림: 유난희,미래엔,2019,8~11세,9,더 큰 아이 쪽으로 넓음,True,56948
12,9791196025847,11035,0.864,48.4,91.6,설민석의 한국사 대모험,"글: 설민석,그림: 정현희",휴먼큐브,2017,9~12세,11,더 어린 아이부터 봄,False,56884
13,9788936414085,10962,0.959,48.4,96.3,나는 3학년 2반 7번 애벌레 :김원아 동화 ,지은이: 김원아 ;그린이: 이주희,창비,2016,7~9세,9,대칭,False,23914
14,9791196025861,10949,0.889,48.4,92.8,설민석의 한국사 대모험,"글: 설민석,그림: 정현희",휴먼큐브,2017,9~12세,9,더 큰 아이 쪽으로 넓음,False,57597
15,9788935652792,10757,0.98,48.3,97.2,마법의 설탕 두 조각,미카엘 엔데 글;유혜자 옮김,한길사,2001,8~11세,9,대칭,False,38059
16,9788970947273,10687,0.888,48.2,92.6,바삭바삭 갈매기 ,전민걸 글·그림,한림출판사,2014,5~9세,9,더 어린 아이부터 봄,True,31510
17,9791196232160,10392,0.807,48.1,88.4,설민석의 한국사 대모험,"글: 설민석,그림: 정현희",휴먼큐브,2017,9~12세,11,더 어린 아이부터 봄,False,54761
18,9791164137527,10301,0.927,48.0,94.4,흔한남매,원작: 흔한남매 ;그림: 유난희,미래엔,2019,8~11세,9,더 큰 아이 쪽으로 넓음,True,51929
19,9788986565522,10180,0.996,48.0,97.8,짜장 짬뽕 탕수육,김영주 글;고경숙 그림,재미마주,2002,8~11세,9,대칭,False,33527
20,9788937838750,10134,0.938,47.9,94.8,(추리 천재) 엉덩이 탐정,트롤 글·그림 ;김정화 옮김,미래엔,2016,6~10세,9,대칭,False,68603
21,9788937848247,10098,0.952,47.9,95.5,(추리 천재) 엉덩이 탐정,트롤 글·그림 ;김정화 옮김,미래엔,2016,6~11세,9,대칭,False,66793
22,9788937853470,10060,0.94,47.9,94.9,(추리 천재) 엉덩이 탐정,트롤 글·그림 ;김정화 옮김,미래엔,2016,6~11세,9,대칭,False,67362
23,9788937889714,10052,0.95,47.9,95.4,(추리 천재) 엉덩이 탐정,트롤 글·그림 ;김정화 옮김,미래엔,2016,6~11세,9,대칭,False,68196
24,9788949161969,9917,0.967,47.8,96.2,(한밤중) 달빛 식당 ,이분희 글 ;윤태규 그림,비룡소,2018,8~11세,9,더 큰 아이 쪽으로 넓음,False,42158
25,9791164138197,9796,0.925,47.8,94.0,흔한남매,원작: 흔한남매 ;그림: 유난희,미래엔,2019,8~11세,9,더 큰 아이 쪽으로 넓음,True,49872
26,9791162332542,9661,0.957,47.7,95.5,(추리 천재) 엉덩이 탐정,트롤 글·그림 ;김정화 옮김,미래엔,2016,6~11세,9,대칭,False,62431
27,9788934993483,9564,0.918,47.6,93.6,(내 멋대로) 친구 뽑기 ,최은옥 글 ;김무연 그림,김영사,2016,9~11세,9,더 큰 아이 쪽으로 넓음,False,42044
28,9791188874088,9514,0.837,47.6,89.5,설민석의 한국사 대모험,"글: 설민석,그림: 정현희",휴먼큐브,2017,9~12세,11,더 어린 아이부터 봄,False,48947
29,9791162335123,9231,0.972,47.5,96.1,(추리 천재) 엉덩이 탐정,트롤 글·그림 ;김정화 옮김,미래엔,2016,7~11세,9,대칭,False,59098
30,9791188874149,9142,0.803,47.4,87.5,설민석의 한국사 대모험,"글: 설민석,그림: 정현희",휴먼큐브,2017,9~12세,11,더 어린 아이부터 봄,False,47558
31,9791188874262,9131,0.787,47.4,86.8,설민석의 한국사 대모험,"글: 설민석,그림: 정현희",휴먼큐브,2017,9~12세,11,더 어린 아이부터 봄,False,47296
32,9791185751337,9085,0.938,47.4,94.3,진짜 투명인간 ,지은이: 레미 쿠르종 ;옮긴이: 이정주,씨드북,2015,7~9세,9,더 어린 아이부터 봄,True,20352
33,9791164136032,9002,0.936,47.3,94.1,흔한남매의 흔한 호기심 :일상에서 만나는 과학 상식,원작: 흔한남매 ;그림: 유난희,미래엔,2020,8~11세,9,더 큰 아이 쪽으로 넓음,True,45675
34,9791164137121,8989,0.933,47.3,94.0,흔한남매의 흔한 호기심 :일상에서 만나는 과학 상식,원작: 흔한남매 ;그림: 유난희,미래엔,2020,8~11세,9,더 큰 아이 쪽으로 넓음,True,44594
35,9788949162058,8934,0.977,47.3,96.1,소원 떡집 ,김리리 글 ;이승현 그림,비룡소,2020,7~10세,9,대칭,False,30060
36,9788952773104,8820,0.939,47.2,94.2,13층 나무 집 ,앤디 그리피스 글 ;신수진 옮김,시공사,2015,8~12세,9,더 큰 아이 쪽으로 넓음,False,48699
37,9788949162041,8779,0.968,47.2,95.6,장군이네 떡집 ,김리리 글 ;이승현 그림,비룡소,2020,7~10세,9,대칭,False,29406
38,9791188874217,8759,0.803,47.2,87.3,설민석의 한국사 대모험,"글: 설민석,그림: 정현희",휴먼큐브,2017,9~12세,11,더 어린 아이부터 봄,False,45307
39,9788936447694,8565,0.975,47.1,95.8,고양이 해결사 깜냥,홍민정 동화 ;김재희 그림,창비,2020,8~11세,9,대칭,False,46424
40,9791168411685,8552,0.905,47.1,92.3,흔한남매,원작: 흔한남매 ;그림: 유난희,미래엔,2019,9~12세,9,더 큰 아이 쪽으로 넓음,True,42027
41,9791188874293,8527,0.795,47.1,86.8,설민석의 한국사 대모험,"글: 설민석,그림: 정현희",휴먼큐브,2017,9~12세,11,더 어린 아이부터 봄,False,45123
42,9791164060481,8514,0.863,47.0,90.2,(이상한 과자 가게) 전천당,히로시마 레이코 글 ;김정화 옮김,길벗스쿨,2019,9~12세,9,더 큰 아이 쪽으로 넓음,False,44861
43,9791164139897,8489,0.918,47.0,92.9,흔한남매,원작: 흔한남매 ;그림: 유난희,미래엔,2019,8~11세,9,더 큰 아이 쪽으로 넓음,True,43461
44,9791162339466,8451,0.971,47.0,95.5,(추리 천재) 엉덩이 탐정,트롤 글·그림 ;김정화 옮김,미래엔,2016,6~11세,9,대칭,False,56223
45,9791164134649,8428,0.939,47.0,93.9,(흔한남매) 안 흔한 일기,흔한남매 원작 ;조병주 그림,미래엔,2020,8~11세,9,더 큰 아이 쪽으로 넓음,False,41840
46,9788937849367,8340,0.72,46.9,82.9,꼴찌라도 괜찮아! ,유계영 글 ;김중석 그림,미래엔컬처그룹,2010,5~9세,9,더 어린 아이부터 봄,False,16463
47,9788936447861,8306,0.957,46.9,94.8,고양이 해결사 깜냥,홍민정 동화 ;김재희 그림,창비,2020,8~11세,9,더 큰 아이 쪽으로 넓음,False,42388
48,9791164137923,8279,0.934,46.9,93.6,흔한남매의 흔한 호기심 :일상에서 만나는 과학 상식,원작: 흔한남매 ;그림: 유난희,미래엔,2020,8~11세,9,더 큰 아이 쪽으로 넓음,True,41521
49,9788952781505,8152,0.927,46.8,93.2,26층 나무 집 ,앤디 그리피스 글 ;신수진 옮김,시공사,2015,8~12세,9,더 큰 아이 쪽으로 넓음,False,43468
50,9788958288053,8136,0.832,46.8,88.4,귀신 선생님과 진짜 아이들 ,남동윤 만화,사계절,2014,9~12세,9,더 큰 아이 쪽으로 넓음,True,29585
51,9791164135158,8134,0.924,46.8,93.0,(흔한남매) 안 흔한 일기,흔한남매 원작 ;조병주 그림,미래엔,2020,8~11세,9,더 큰 아이 쪽으로 넓음,False,39793
52,9788934993711,8123,0.92,46.8,92.8,내 멋대로 아빠 뽑기 ,최은옥 글 ;김무연 그림,김영사,2017,9~11세,9,더 큰 아이 쪽으로 넓음,False,35533
53,9791164134090,8119,0.993,46.8,96.5,(추리 천재) 엉덩이 탐정,트롤 글·그림 ;김정화 옮김,미래엔,2016,7~11세,9,대칭,False,48785
