rank,isbn13,6세_대출,적합도,인기점수(50),추천도(100),제목,저자,출판사,출판년,추천연령,최다선택나이,분포,그림책,총대출
1,9788993242980,7640,0.956,48.5,96.3,슈퍼 거북 ,유설화 글·그림,책읽는곰,2014,4~9세,5,더 큰 아이 쪽으로 넓음,True,50498
2,9788955821055,5675,0.998,45.9,95.8,집안 치우기 ,글: 고대영 ;그림: 김영진,길벗어린이,2010,4~9세,6,대칭,True,34697
3,9788959761654,5704,0.996,45.9,95.7,엉덩이탐정 :뿡뿡 사라진 과자를 찾아라! ,트롤 글·그림 ;전경아 옮김,문학수첩리틀북,2015,4~8세,6,대칭,True,30973
4,9788959761906,5694,0.99,45.9,95.4,엉덩이탐정 :뿡뿡 무지개 다이아몬드를 찾아라! ,트롤 글·그림 ;전경아 옮김,문학수첩리틀북,2016,4~8세,6,대칭,True,32782
5,9788959762088,5288,1.0,45.2,95.2,엉덩이탐정 :뿡뿡 쪼그만 서장의 대위기!? ,트롤 글·그림 ;전경아 옮김,문학수첩리틀북,2017,4~8세,6,대칭,True,28651
6,9788955820805,5626,0.989,45.8,95.2,손톱 깨물기 ,글: 고대영 ;그림: 김영진,길벗어린이,2008,4~8세,6,대칭,True,31788
7,9788955822823,5984,0.965,46.3,94.6,싸워도 돼요? ,글: 고대영 ;그림: 김영진,길벗어린이,2013,4~8세,6,대칭,True,33648
8,9788955820966,5748,0.967,46.0,94.3,거짓말 ,글: 고대영 ;그림: 김영진,길벗어린이,2009,4~8세,6,대칭,True,31928
9,9788955820683,5632,0.97,45.8,94.3,용돈주세요,글: 고대영;그림: 김영진,길벗어린이,2007,4~8세,6,대칭,True,30989
10,9788966350278,8942,0.887,49.8,94.2,바다 100층짜리 집 ,글·그림: 이와이 도시오 ;옮김: 김숙,북뱅크,2014,4~8세,5,대칭,False,46190
11,9788955821970,5433,0.967,45.5,93.8,칭찬 먹으러 가요 ,글: 고대영 ;그림: 김영진,길벗어린이,2012,4~8세,6,대칭,True,31845
12,9788959762323,4459,1.0,43.8,93.7,엉덩이 탐정 :뿡뿡 사라진 도시락 수수께끼! ,트롤 글·그림 ;전경아 옮김,문학수첩리틀북,2018,4~8세,6,대칭,True,23736
13,9791158360214,8320,0.89,49.2,93.7,이상한 엄마 ,백희나,책읽는곰,2016,3~8세,5,대칭,True,50284
14,9788966350759,7218,0.913,48.0,93.6,하늘 100층짜리 집 ,글·그림: 이와이 도시오 ;옮김: 김숙,북뱅크,2017,4~8세,5,더 큰 아이 쪽으로 넓음,False,37318
15,9788955821697,5234,0.968,45.2,93.6,먹는 이야기 ,글: 고대영 ;그림: 김영진,길벗어린이,2011,4~8세,6,대칭,True,29888
16,9788989863915,8014,0.877,48.9,92.7,지하 100층짜리 집 ,글·그림: 이와이 도시오 ;옮긴이: 김숙,북뱅크,2011,4~7세,5,대칭,False,40094
17,9788993242706,9108,0.851,50.0,92.6,장수탕 선녀님 ,지은이: 백희나,책읽는곰,2012,3~8세,4,더 큰 아이 쪽으로 넓음,True,55983
18,9788959762408,4553,0.971,43.9,92.5,엉덩이 탐정 :뿡뿡 괴도가 나타나다! ,트롤 글·그림 ;전경아 옮김,문학수첩리틀북,2019,4~7세,6,대칭,True,22143
19,9788901232232,5333,0.942,45.3,92.4,팥빙수의 전설 :이지은 그림책 ,글·그림: 이지은,웅진씽크빅,2019,3~8세,5,대칭,False,31098
20,9788955824896,4430,0.965,43.7,92.0,틀리면 어떡해? ,김영진 글·그림,길벗어린이,2019,4~7세,6,대칭,True,23487
21,9791160946673,4205,0.972,43.2,91.8,이파라파냐무냐무 :이지은 그림책 ,글·그림: 이지은,사계절(사계절출판사),2020,4~9세,5,더 큰 아이 쪽으로 넓음,True,25701
22,9788955820904,5405,0.915,45.4,91.2,두발자전거 배우기 ,글: 고대영 ;그림: 김영진,길벗어린이,2009,3~7세,6,대칭,True,28169
23,9791158360375,7728,0.848,48.6,91.0,알사탕 ,백희나,책읽는곰,2017,3~8세,4,더 큰 아이 쪽으로 넓음,True,49004
24,9791158362478,5098,0.916,44.9,90.7,꽁꽁꽁 좀비 ,윤정주 글·그림,책읽는곰,2021,4~7세,6,대칭,True,26324
25,9788958284482,5666,0.895,45.8,90.6,감기 걸린 물고기 :박정섭 그림책 ,글·그림: 박정섭,사계절,2016,3~9세,5,대칭,True,37269
26,9788901271323,3157,0.995,40.7,90.5,태양 왕 수바 :이지은 그림책 ,글·그림: 이지은,웅진씽크빅,2023,4~8세,6,대칭,False,17579
27,9788955820461,5814,0.888,46.1,90.5,지하철을 타고서,글: 고대영;그림:김영진,길벗어린이,2006,3~7세,6,더 어린 아이부터 봄,True,29596
28,9788959762415,3160,0.991,40.7,90.3,엉덩이탐정,트롤 글·그림 ;전경아 옮김,문학수첩리틀북,2020,4~8세,6,대칭,True,16662
29,9788901251226,3503,0.971,41.6,90.2,친구의 전설 :이지은 그림책 ,글·그림: 이지은,웅진씽크빅,2021,4~8세,6,대칭,False,20062
30,9791158360801,6636,0.852,47.2,89.9,이상한 손님 ,백희나,책읽는곰,2018,3~8세,4,더 큰 아이 쪽으로 넓음,True,39912
31,9791185751917,3021,0.989,40.3,89.8,산딸기 크림봉봉 ,에밀리 젠킨스 글 ;길상효 옮김,씨드북,2016,4~8세,6,대칭,True,18916
32,9788955824476,4372,0.923,43.6,89.7,친구 사귀기 ,김영진 글·그림,길벗어린이,2018,3~7세,6,대칭,True,22225
33,9788964963678,5611,0.873,45.8,89.4,오싹오싹 팬티! ,글: 에런 레이놀즈 ;옮김: 홍연미,토토북,2018,4~8세,5,대칭,True,31114
34,9791158363178,3921,0.929,42.6,89.1,두근두근 편의점 :김영진 그림책 ,지은이: 김영진,책읽는곰,2022,4~7세,6,대칭,True,20762
35,9791158360931,5019,0.879,44.8,88.7,슈퍼 히어로의 똥 닦는 법 ,안영은 글 ;최미란 그림,책읽는곰,2018,3~7세,6,더 어린 아이부터 봄,True,23152
36,9791188867127,4574,0.894,44.0,88.7,문어 목욕탕 ,최민지 글·그림,노란상상,2018,3~7세,6,더 어린 아이부터 봄,True,24131
37,9788936446819,8028,0.794,48.9,88.6,수박 수영장 :안녕달 그림책 ,지은이: 안녕달,창비,2015,3~8세,3,더 큰 아이 쪽으로 넓음,True,55125
38,9788989863786,7526,0.802,48.3,88.4,100층짜리 집 ,글·그림: 이와이 도시오 ;옮김: 김숙,북뱅크,2021,3~7세,5,대칭,False,38144
39,9791156130727,4309,0.9,43.5,88.4,이유가 있어요 ,요시타케 신스케 글·그림 ;김정화 옮김,봄나무,2015,4~9세,9,더 어린 아이부터 봄,True,32094
40,9788936454951,5634,0.844,45.8,88.0,할머니의 여름휴가,안녕달,창비,2016,3~9세,3,더 큰 아이 쪽으로 넓음,True,38130
41,9788958284055,4394,0.886,43.6,87.9,눈물바다 ,서현 글·그림,사계절출판사,2009,3~7세,7,더 어린 아이부터 봄,True,25351
42,9788955823486,3728,0.91,42.2,87.7,미안하고 고맙고 사랑해 ,김영진 글·그림,길벗어린이,2016,3~7세,7,더 어린 아이부터 봄,True,21292
43,9791169811163,2677,0.965,39.3,87.5,호랭떡집 ,글·그림: 서현,사계절(사계절출판사),2023,5~9세,6,대칭,True,17038
44,9791158361839,5195,0.847,45.1,87.5,슈퍼 토끼 :유설화 그림책 ,유설화 글·그림,책읽는곰,2020,3~7세,5,대칭,True,28872
45,9788901245690,3196,0.929,40.8,87.3,식빵 유령 ,글·그림: 윤지,웅진씽크빅,2020,4~7세,6,대칭,False,17339
46,9788966351411,4477,0.867,43.8,87.2,숲속 100층짜리 집 ,글·그림: 이와이 도시오 ;옮김: 김숙,북뱅크,2021,4~7세,5,대칭,False,21779
47,9788955826432,2309,0.983,38.0,87.1,게임하고 싶어! ,김영진 글·그림,길벗어린이,2022,4~7세,6,대칭,False,11376
48,9791158361907,5186,0.836,45.1,86.9,꽁꽁꽁 피자 ,윤정주 글·그림,책읽는곰,2020,3~7세,5,대칭,True,27223
49,9788936455965,2481,0.96,38.6,86.6,겨울 이불 :안녕달 그림책 ,지은이: 안녕달,창비,2023,3~8세,6,대칭,True,15240
50,9788959762422,2542,0.956,38.8,86.6,엉덩이탐정,트롤 글·그림 ;전경아 옮김,문학수첩리틀북,2020,4~7세,6,대칭,True,12062
51,9791158360245,6955,0.78,47.6,86.6,초밥이 빙글빙글 ,구도 노리코 글·그림 ;윤수정 옮김,책읽는곰,2016,3~6세,5,대칭,True,32358
